,Open,High,low,Close,AvgPrice,Turn,Volume,Amount,Tnum
20090105,3.2801,3.3384,3.2595,3.3281,3.2938,1.225,34082718.0,327584246.99,14324.0
20090106,3.3589,3.5748,3.3349,3.5303,3.4755,2.284,63533035.0,644107979.16,30201.0
20090107,3.496,3.5646,3.424,3.424,3.4857,2.2,61196035.0,622328637.9,21857.0
20090108,3.3418,3.3452,3.2561,3.2904,3.3109,1.411,39257246.0,379270679.75,20143.0
20090109,3.2904,3.4035,3.2904,3.3761,3.3418,2.173,60445727.0,589480466.82,16947.0
20090112,3.3521,3.4549,3.3144,3.3795,3.3795,1.494,41548041.0,409864340.66,17925.0
20090113,3.0436,3.3006,3.0436,3.2458,3.1533,6.222,173070799.0,1592403501.87,35588.0
20090114,3.1875,3.5132,3.1875,3.496,3.3692,2.751,76532472.0,752488585.87,37310.0
20090115,3.4309,3.6331,3.4172,3.5303,3.5543,3.218,89501439.0,928498894.52,31633.0
20090116,3.544,3.7496,3.544,3.64,3.6674,2.388,66437035.0,710657382.09,33728.0
20090119,3.6503,3.8902,3.6503,3.8079,3.8285,3.366,93633487.0,1046119948.21,35680.0
20090120,3.7942,3.9073,3.7771,3.8936,3.8593,1.7,47297473.0,532378867.48,20205.0
20090121,3.8216,4.1815,3.7702,4.041,4.0136,2.964,82445596.0,965184744.55,29834.0
20090122,4.0444,4.113,3.9073,4.041,4.0136,1.688,46940962.0,549913053.03,16736.0
20090123,3.969,4.089,3.969,3.9896,4.0273,1.243,34571254.0,406089400.64,11093.0
20090202,4.0307,4.1095,3.945,3.9964,4.017,1.185,32974937.0,386448378.14,9665.0
20090203,3.9964,4.1335,3.9759,4.0958,4.0787,1.325,36864028.0,438563931.58,12797.0
20090204,4.1198,4.5071,4.1198,4.4694,4.3597,1.945,54095165.0,687869144.23,27388.0
20090205,4.4797,4.5243,4.3289,4.3872,4.4351,1.342,37342847.0,483389218.73,22282.0
20090206,4.394,4.6065,4.394,4.5208,4.514,1.167,32469802.0,427737263.63,18437.0
20090209,4.6099,4.8122,4.6099,4.7128,4.7128,1.705,47428273.0,652256473.88,23323.0
20090210,4.6648,4.7299,4.5174,4.6819,4.6202,1.919,53370564.0,719521484.91,26350.0
20090211,4.6202,4.891,4.4763,4.7299,4.6374,2.956,82219311.0,1112270073.0,38676.0
20090212,4.7539,4.7539,4.418,4.5517,4.5414,2.013,55995692.0,741834838.36,30170.0
20090213,4.5105,4.6956,4.4523,4.6648,4.6065,1.844,51296009.0,689403040.82,29164.0
20090216,4.6888,4.9356,4.6888,4.9184,4.8224,2.487,69180971.0,973517929.09,37474.0
20090217,4.9184,5.1652,4.7573,4.9218,4.9664,2.615,72735160.0,1053926159.16,38031.0
20090218,4.8636,5.1035,4.6956,4.7985,4.8499,3.514,97747550.0,1383613266.5,34509.0
20090219,4.7985,4.867,4.4557,4.6099,4.6545,2.282,63473557.0,861836703.12,31614.0
20090220,4.5585,4.6888,4.49,4.6716,4.6099,1.468,40842994.0,549270135.58,17674.0
20090223,4.6202,5.1378,4.5962,5.1378,4.9493,2.493,69336562.0,1001283954.52,31986.0
20090224,5.1378,5.1378,5.1378,5.1378,,0.0,0.0,0.0,0.0
20090225,4.9356,5.4771,4.7368,5.1926,4.9938,5.157,143462607.0,2090937432.43,52258.0
20090226,5.0692,5.22,4.6751,4.7299,4.9184,3.132,87113777.0,1250457453.18,46781.0
20090227,4.7299,4.7299,4.7299,4.7299,,0.0,0.0,0.0,0.0
20090302,4.5243,4.867,4.4489,4.7985,4.6374,2.131,59278180.0,801972762.26,26662.0
20090303,4.5962,4.7847,4.5757,4.6305,4.6819,1.063,29564234.0,403854604.1,16161.0
20090304,4.6545,5.0932,4.6545,5.0829,4.9424,2.441,67897933.0,979017375.98,35438.0
20090305,5.1172,5.3983,5.0349,5.1926,5.1892,3.283,91314310.0,1382553957.16,47261.0
20090306,5.0555,5.2612,5.0452,5.1378,5.1549,1.634,45439594.0,683511177.89,23513.0
20090309,5.2406,5.3743,4.9733,5.0315,5.1995,2.018,56138189.0,851579610.78,30361.0
20090310,4.9527,5.0898,4.9081,5.0898,5.0075,0.904,25137583.0,367283931.87,16294.0
20090311,5.2783,5.3091,5.0212,5.0247,5.1823,1.622,45120026.0,682414317.94,22416.0
20090312,5.0247,5.2029,4.9424,5.1823,5.0726,1.251,34793355.0,514788841.3,20172.0
20090313,5.2029,5.2303,5.0692,5.0795,5.1481,0.965,26856230.0,403403842.53,16811.0
20090316,5.0384,5.2749,4.963,5.2269,5.1549,1.494,41565143.0,625111120.84,22826.0
20090317,5.1926,5.5011,5.1549,5.4462,5.3674,2.373,66010095.0,1034028310.46,35098.0
20090318,5.4839,5.5114,5.3674,5.3845,5.4257,1.933,53778471.0,851286480.63,28378.0
20090319,5.3914,5.4702,5.2372,5.412,5.3537,2.051,57050540.0,891205110.12,32499.0
20090320,5.3126,5.3708,5.1412,5.2543,5.2406,2.291,63737660.0,974719525.11,42835.0
20090323,5.1789,5.3606,5.1789,5.3468,5.2817,2.557,71122744.0,1096019715.25,35701.0
20090324,5.4325,5.5525,5.364,5.3708,5.46,3.03,84296483.0,1342706319.5,34102.0
20090325,5.3297,5.5011,5.316,5.4154,5.4325,1.755,48814831.0,773482641.45,24941.0
20090326,5.4325,5.6896,5.3811,5.6622,5.5525,2.578,71702777.0,1161662466.6,37539.0
20090327,5.6553,5.7067,5.5628,5.6108,5.6176,1.393,38755129.0,635156693.69,21965.0
20090330,5.621,5.6485,5.4257,5.4977,5.4977,1.459,40576759.0,650878096.0,24084.0
20090331,5.3811,5.5148,5.3263,5.4634,5.4051,1.163,32344849.0,509961199.41,20852.0
20090401,5.4839,5.6553,5.4771,5.5525,5.5559,1.45,40323901.0,653598010.88,22047.0
20090402,5.5628,5.7753,5.5628,5.7273,5.717,2.034,56585358.0,943747237.73,30904.0
20090403,5.7616,5.909,5.6896,5.741,5.7821,2.185,60770480.0,1025483103.79,26747.0
20090407,5.741,5.8952,5.645,5.7067,5.7547,1.175,32679459.0,548561556.87,16312.0
20090408,5.6725,5.7924,5.4874,5.5045,5.6348,1.611,44819963.0,736657223.2,24211.0
20090409,5.5045,5.621,5.4942,5.6039,5.5593,1.107,30797570.0,499445892.52,12680.0
20090410,5.6553,5.6999,5.5696,5.693,5.6519,1.185,32964042.0,543590659.78,16196.0
20090413,5.717,5.7753,5.6553,5.7376,5.7102,1.2,33386721.0,556322514.96,17616.0
20090414,5.6964,5.7444,5.6485,5.7102,5.6964,0.953,26497675.0,440280110.16,15211.0
20090415,5.6827,5.6999,5.4839,5.5868,5.5662,1.526,42437779.0,689311800.68,29110.0
20090416,5.5799,5.6382,5.4634,5.6039,5.5456,1.454,40431865.0,654320091.96,28827.0
20090417,5.5593,5.5593,5.4325,5.4428,5.4771,1.498,41670276.0,665845165.46,26521.0
20090420,5.4325,5.5456,5.3914,5.5319,5.4805,1.153,32062704.0,512547655.24,20792.0
20090421,5.4668,5.4805,5.2954,5.412,5.3948,1.27,35331689.0,556042926.87,26619.0
20090422,5.4257,5.5079,5.2097,5.2337,5.388,1.264,35164920.0,552663530.16,24475.0
20090423,5.2269,5.2852,5.1412,5.2132,5.2132,0.792,22036413.0,335080479.35,15763.0
20090424,5.2886,5.4702,5.2337,5.2543,5.3606,1.223,34010264.0,531858078.14,22285.0
20090427,5.1926,5.2954,5.1446,5.1926,5.2097,0.743,20666502.0,314098809.05,14157.0
20090428,5.2029,5.388,5.2029,5.3468,5.3366,1.351,37591698.0,585159196.62,21509.0
20090429,5.3503,5.8027,5.3434,5.6587,5.5799,2.111,58709206.0,955554262.96,40865.0
20090430,5.621,5.6964,5.5216,5.5936,5.5971,1.23,34225411.0,559033029.4,22139.0
20090504,5.6313,5.7958,5.5731,5.7444,5.717,1.38,38377789.0,640081740.56,26415.0
20090505,5.7787,5.8952,5.7239,5.7513,5.8061,1.129,31403166.0,531835038.59,20217.0
20090506,5.7273,5.9467,5.6964,5.9124,5.8507,1.694,47128948.0,804699504.82,27474.0
20090507,5.909,6.19,5.9021,6.1523,6.0872,2.193,61011413.0,1083382900.15,33387.0
