date,time,open_or_close,direction,code,price,number,commission
20100104,93728,open,sell,B1,4557,40,20.05
20100104,93728,open,sell,B1,4557,20,10.03
20100104,93728,open,sell,B1,4557,50,25.06
20100104,93728,open,sell,B1,4557,10,5.01
20100104,93728,open,sell,B1,4557,10,5.01
20100104,93728,open,sell,B1,4557,10,5.01
20100104,93728,open,sell,B1,4557,10,5.01
20100104,93728,open,sell,B1,4557,20,10.03
20100104,93728,open,sell,B1,4557,830,416.05
20100104,93746,open,sell,A1,60430,5,63.45
20100104,93746,open,sell,A1,60430,5,63.45
20100104,93746,open,sell,A1,60430,5,63.45
20100104,93746,open,sell,A1,60430,5,63.45
20100104,93746,open,sell,A1,60430,20,253.81
20100104,93746,open,sell,A1,60430,5,63.45
20100104,93746,open,sell,A1,60430,5,63.45
20100104,93746,open,sell,A1,60430,15,190.35
20100104,93746,open,sell,A1,60430,5,63.45
20100104,93746,open,sell,A1,60430,10,126.9
20100104,93746,open,sell,A1,60430,25,317.26
20100104,93746,open,sell,A1,60430,5,63.45
20100104,93806,open,sell,D1,21380,5,8.5
20100104,93806,open,sell,D1,21380,5,8.5
20100104,93806,open,sell,D1,21380,5,8.5
20100104,93806,open,sell,D1,21380,10,17
20100104,93806,open,sell,D1,21380,5,8.5
20100104,93806,open,sell,D1,21380,5,8.5
20100104,93806,open,sell,D1,21380,10,17
20100104,93806,open,sell,D1,21380,5,8.5
20100104,93806,open,sell,D1,21380,5,8.5
20100104,93806,open,sell,D1,21380,5,8.5
20100104,93806,open,sell,D1,21380,5,8.5
20100104,93806,open,sell,D1,21380,5,8.5
20100104,93806,open,sell,D1,21380,5,8.5
20100104,93806,open,sell,D1,21380,15,25.5
20100104,93806,open,sell,D1,21380,15,25.5
20100104,93806,open,sell,D1,21380,10,17
20100104,93806,open,sell,D1,21380,5,8.5
20100104,93806,open,sell,D1,21380,25,42.5
20100104,93806,open,sell,D1,21380,25,42.5
20100104,93806,open,sell,D1,21380,5,8.5
20100104,93806,open,sell,D1,21380,5,8.5
20100104,93807,open,sell,D1,21380,20,34
20100104,93807,open,sell,D1,21380,25,42.5
20100104,93807,open,sell,D1,21380,25,42.5
20100104,93818,open,sell,B1,4555,240,120.25
20100104,93818,open,sell,B1,4555,760,380.8
20100104,93824,open,sell,D1,21385,250,425
20100104,93941,close,buy,B1,4554,700,0
20100104,93941,close,buy,B1,4554,30,0
20100104,93941,close,buy,B1,4554,600,0
20100104,93941,close,buy,B1,4554,670,0
20100104,94048,close,buy,A1,60450,30,0
20100104,94048,close,buy,A1,60450,10,0
20100104,94048,close,buy,A1,60450,5,0
20100104,94048,close,buy,A1,60450,65,0
20100104,94049,open,buy,A1,60450,110,1396.4
