违规明细,,,,,,,,,,,,,,
代码,名称,公告日期,违规类型,处罚对象,关系,违规行为,处分类型,处分措施,处理人,处罚金额(万元),相关法规,是否发债,证监会行业(2012),东财行业
600539.SH,ST狮头,2016-08-04,未及时披露公司重大事件,太原狮头水泥股份有限公司,公司本身,"经查,你公司控股子公司太原狮头中联水泥有限公司(以下简称狮头中联)2016年6月20日收到山西省太原市中级人民法院《民事裁定书》[(2016)晋01民初字第464号]。太原市中级人民法院裁定如下:冻结太原狮头中联水泥有限公司银行存款7500万元或查封、扣押相应价值的财产。6月16日,狮头中联4个主要银行账户被冻结,冻结金额255.64万元。你公司7月14日对以上信息进行了披露,未及时披露公司涉及的重大诉讼信息。",出具警示函,"上述行为违反《上市公司信息披露管理办法》第二条“信息披露义务人应当真实、准确、完整、及时地披露信息,不得有虚假记载、误导性陈述或者重大遗漏”、第三十条(十)“涉及公司的重大诉讼、仲裁,股东大会、董事会决议被依法撤销或者宣告无效”以及《上海证券交易所股票上市规则》第十一章第一节第一条“上市公司应当及时披露涉案金额超过1000万元,并且占公司最近一期经审计净资产绝对值10%以上的重大诉讼、仲裁事项”的规定。根据《上市公司信息披露管理办法》第五十九条之规定,决定对你公司采取出具警示函的监管措施,并记入证券期货市场诚信档案。",中国证券监督管理委员会山西监管局,,"《上市公司信息披露管理办法》,《上海证券交易所股票上市规则》",否,制造业,水泥
,,,,,,,,,,,,,,
数据来源:东方财富Choice数据,,,,,,,,,,,,,,
