代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
600966.SH	2014-06-27	未及时披露公司重大事件,未按时披露定期报告	金亮宗	公司高管	公开谴责	上海证券交易所		《上海证券交易所股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	是	制造业	造纸
600966.SH	2014-06-27	未及时披露公司重大事件,未按时披露定期报告	杨振兴	公司高管	公开谴责	上海证券交易所		《上海证券交易所股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	是	制造业	造纸
600966.SH	2014-06-27	未及时披露公司重大事件,未按时披露定期报告	郑先山	公司高管	公开批评	上海证券交易所		《上海证券交易所股票上市规则》	是	制造业	造纸
600966.SH	2014-06-27	未及时披露公司重大事件,未按时披露定期报告	曹林	公司高管	公开批评	上海证券交易所		《上海证券交易所股票上市规则》	是	制造业	造纸
600247.SH	2014-06-27	未按时披露定期报告,未依法履行其他职责	吉林成城集团股份有限公司	公司本身	公开批评	上海证券交易所		《股票上市规则》	否	批发和零售业	贸易
600966.SH	2014-06-27	未及时披露公司重大事件,未按时披露定期报告	史霄	公司高管	公开谴责	上海证券交易所		《上海证券交易所股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	是	制造业	造纸
600966.SH	2014-06-27	未及时披露公司重大事件,未按时披露定期报告	李军	公司高管	公开批评	上海证券交易所		《上海证券交易所股票上市规则》	是	制造业	造纸
600247.SH	2014-06-27	未按时披露定期报告,未依法履行其他职责	吴蓉	公司高管	公开批评	上海证券交易所		《股票上市规则》	否	批发和零售业	贸易
600966.SH	2014-06-27	未及时披露公司重大事件,未按时披露定期报告	金田宗	公司高管	公开批评	上海证券交易所		《上海证券交易所股票上市规则》	是	制造业	造纸
600247.SH	2014-06-27	未按时披露定期报告,未依法履行其他职责	闫家英	公司高管	公开谴责	上海证券交易所		《股票上市规则》	否	批发和零售业	贸易
600247.SH	2014-06-27	未按时披露定期报告,未依法履行其他职责	姜明辉	公司高管	公开谴责	上海证券交易所		《股票上市规则》	否	批发和零售业	贸易
600247.SH	2014-06-27	未按时披露定期报告,未依法履行其他职责	李军	公司高管	公开谴责	上海证券交易所		《股票上市规则》	否	批发和零售业	贸易
600966.SH	2014-06-27	未及时披露公司重大事件,未按时披露定期报告	杨国栋	公司高管	公开谴责	上海证券交易所		《上海证券交易所股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	是	制造业	造纸
600247.SH	2014-06-27	未按时披露定期报告,未依法履行其他职责	王存江	公司高管	公开批评	上海证券交易所		《股票上市规则》	否	批发和零售业	贸易
600966.SH	2014-06-27	未及时披露公司重大事件,未按时披露定期报告	周克军	公司高管	公开谴责	上海证券交易所		《上海证券交易所股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	是	制造业	造纸
600247.SH	2014-06-27	未按时披露定期报告,未依法履行其他职责	徐昕欣	公司高管	公开谴责	上海证券交易所		《股票上市规则》	否	批发和零售业	贸易
