t,sid,y,x1,x2
2015-06-15,20,0.011333,0.011479999999999999,-0.021168
2015-06-15,21,-0.031583,0.011479999999999999,-0.021168
2015-06-15,23,-0.015276,0.011479999999999999,-0.021168
2015-06-15,25,-0.033428,0.011479999999999999,-0.021168
2015-06-15,26,-0.016599,0.011479999999999999,-0.021168
2015-06-15,27,-0.047735,0.011479999999999999,-0.021168
2015-06-15,28,-0.034974,0.011479999999999999,-0.021168
2015-06-15,29,0.015678,0.011479999999999999,-0.021168
2015-06-15,30,-0.029578999999999998,0.011479999999999999,-0.021168
2015-06-16,1,-0.017648999999999998,-0.021168,-0.038405999999999996
2015-06-16,2,-0.038188,-0.021168,-0.038405999999999996
2015-06-16,4,-0.056748,-0.021168,-0.038405999999999996
2015-06-16,5,-0.097386,-0.021168,-0.038405999999999996
2015-06-16,6,-0.083805,-0.021168,-0.038405999999999996
2015-06-16,9,-0.049423,-0.021168,-0.038405999999999996
2015-06-16,10,-0.06617200000000001,-0.021168,-0.038405999999999996
2015-06-16,11,-0.017103999999999998,-0.021168,-0.038405999999999996
2015-06-16,12,0.032196999999999996,-0.021168,-0.038405999999999996
2015-06-16,14,-0.08770800000000001,-0.021168,-0.038405999999999996
2015-06-16,17,-0.09436,-0.021168,-0.038405999999999996
2015-06-16,18,-0.050566,-0.021168,-0.038405999999999996
2015-06-16,19,-0.066433,-0.021168,-0.038405999999999996
2015-06-16,20,-0.047288,-0.021168,-0.038405999999999996
2015-06-16,21,-0.035415,-0.021168,-0.038405999999999996
2015-06-16,23,-0.017109,-0.021168,-0.038405999999999996
2015-06-16,25,-0.079559,-0.021168,-0.038405999999999996
2015-06-16,26,-0.06693600000000001,-0.021168,-0.038405999999999996
2015-06-16,27,-0.087566,-0.021168,-0.038405999999999996
2015-06-16,28,-0.026774,-0.021168,-0.038405999999999996
2015-06-16,29,-0.048761,-0.021168,-0.038405999999999996
2015-06-16,30,-0.055927,-0.021168,-0.038405999999999996
2015-06-17,1,0.005692999999999999,-0.038405999999999996,0.019581
2015-06-17,2,0.013847000000000002,-0.038405999999999996,0.019581
2015-06-17,4,0.05393,-0.038405999999999996,0.019581
2015-06-17,5,0.006522999999999999,-0.038405999999999996,0.019581
2015-06-17,6,0.0316,-0.038405999999999996,0.019581
2015-06-17,9,0.009787,-0.038405999999999996,0.019581
2015-06-17,10,0.032465,-0.038405999999999996,0.019581
2015-06-17,11,0.018807,-0.038405999999999996,0.019581
2015-06-17,12,-0.030195,-0.038405999999999996,0.019581
2015-06-17,14,0.025051,-0.038405999999999996,0.019581
2015-06-17,17,0.046792,-0.038405999999999996,0.019581
2015-06-17,18,0.020577,-0.038405999999999996,0.019581
2015-06-17,19,0.016527,-0.038405999999999996,0.019581
2015-06-17,20,0.0026680000000000002,-0.038405999999999996,0.019581
2015-06-17,21,0.017391000000000004,-0.038405999999999996,0.019581
2015-06-17,23,-6.100000000000001e-05,-0.038405999999999996,0.019581
2015-06-17,25,0.041606000000000004,-0.038405999999999996,0.019581
2015-06-17,26,0.020895,-0.038405999999999996,0.019581
2015-06-17,27,0.09985,-0.038405999999999996,0.019581
2015-06-17,28,0.060369999999999986,-0.038405999999999996,0.019581
2015-06-17,29,0.001684,-0.038405999999999996,0.019581
2015-06-17,30,0.020978,-0.038405999999999996,0.019581
2015-06-18,1,-0.022310999999999998,0.019581,-0.039145
2015-06-18,2,-0.027496,0.019581,-0.039145
2015-06-18,4,-0.036364,0.019581,-0.039145
2015-06-18,5,-0.036856,0.019581,-0.039145
2015-06-18,6,0.001676,0.019581,-0.039145
2015-06-18,9,-0.039068,0.019581,-0.039145
2015-06-18,10,-0.044533,0.019581,-0.039145
2015-06-18,11,0.043483,0.019581,-0.039145
2015-06-18,12,-0.06853100000000001,0.019581,-0.039145
2015-06-18,14,0.038957,0.019581,-0.039145
2015-06-18,17,-0.016788,0.019581,-0.039145
2015-06-18,18,-0.039668999999999996,0.019581,-0.039145
2015-06-18,19,-0.066261,0.019581,-0.039145
2015-06-18,20,-0.045412,0.019581,-0.039145
2015-06-18,21,0.042248,0.019581,-0.039145
2015-06-18,23,-0.024450999999999997,0.019581,-0.039145
2015-06-18,25,0.0010299999999999999,0.019581,-0.039145
2015-06-18,26,-0.03126,0.019581,-0.039145
2015-06-18,27,-0.002089,0.019581,-0.039145
2015-06-18,28,-0.04254,0.019581,-0.039145
2015-06-18,29,0.012714999999999999,0.019581,-0.039145
2015-06-18,30,-0.038051999999999996,0.019581,-0.039145
2015-06-19,1,-0.048826,-0.039145,-0.06799300000000001
2015-06-19,2,-0.04449,-0.039145,-0.06799300000000001
2015-06-19,4,-0.089962,-0.039145,-0.06799300000000001
2015-06-19,5,-0.040808000000000004,-0.039145,-0.06799300000000001
2015-06-19,6,-0.09439700000000001,-0.039145,-0.06799300000000001
2015-06-19,9,-0.100153,-0.039145,-0.06799300000000001
2015-06-19,10,-0.10025500000000001,-0.039145,-0.06799300000000001
2015-06-19,11,-0.09982100000000001,-0.039145,-0.06799300000000001
2015-06-19,12,-0.100123,-0.039145,-0.06799300000000001
2015-06-19,14,-0.073653,-0.039145,-0.06799300000000001
2015-06-19,17,-0.099831,-0.039145,-0.06799300000000001
2015-06-19,18,-0.055846,-0.039145,-0.06799300000000001
2015-06-19,19,-0.072952,-0.039145,-0.06799300000000001
2015-06-19,20,-0.0033859999999999997,-0.039145,-0.06799300000000001
2015-06-19,21,-0.07046800000000002,-0.039145,-0.06799300000000001
2015-06-19,23,-0.10006100000000001,-0.039145,-0.06799300000000001
2015-06-19,25,-0.091961,-0.039145,-0.06799300000000001
2015-06-19,26,-0.10006100000000001,-0.039145,-0.06799300000000001
2015-06-19,27,-0.08701800000000001,-0.039145,-0.06799300000000001
2015-06-19,28,-0.077637,-0.039145,-0.06799300000000001
2015-06-19,29,-0.067148,-0.039145,-0.06799300000000001
2015-06-19,30,-0.08573700000000001,-0.039145,-0.06799300000000001
2015-06-23,1,0.021812,-0.06799300000000001,0.0212
2015-06-23,2,0.053076,-0.06799300000000001,0.0212
2015-06-23,4,0.007557000000000001,-0.06799300000000001,0.0212
2015-06-23,5,-0.046079,-0.06799300000000001,0.0212
2015-06-23,6,0.0018679999999999999,-0.06799300000000001,0.0212
2015-06-23,9,0.01224,-0.06799300000000001,0.0212
2015-06-23,10,-0.079084,-0.06799300000000001,0.0212
2015-06-23,11,-0.060795999999999996,-0.06799300000000001,0.0212
2015-06-23,12,0.012293,-0.06799300000000001,0.0212
2015-06-23,14,-0.022289999999999997,-0.06799300000000001,0.0212
2015-06-23,17,-0.040919,-0.06799300000000001,0.0212
2015-06-23,18,-0.034084,-0.06799300000000001,0.0212
2015-06-23,19,-0.016216,-0.06799300000000001,0.0212
2015-06-23,20,-0.038193,-0.06799300000000001,0.0212
2015-06-23,21,0.032483,-0.06799300000000001,0.0212
2015-06-23,23,-0.034629,-0.06799300000000001,0.0212
2015-06-23,25,0.000339,-0.06799300000000001,0.0212
2015-06-23,26,-0.020776999999999997,-0.06799300000000001,0.0212
2015-06-23,27,0.046668,-0.06799300000000001,0.0212
2015-06-23,28,0.076023,-0.06799300000000001,0.0212
2015-06-23,29,-0.017270999999999998,-0.06799300000000001,0.0212
2015-06-23,30,0.013116,-0.06799300000000001,0.0212
2015-06-24,1,0.011309999999999999,0.0212,0.024656
