code	20160331	20160630	20160930
000001.SZ	0.0349	0.0696	0.1041
000002.SZ	0.0083	0.0542	0.0824
000004.SZ	-0.0298	0.036	0.1654
000005.SZ	-0.0059	0.1048	0.11
000006.SZ	0.0111	0.0234	0.0262
000007.SZ	0.0205	0.0288	0.0462
000008.SZ	0.0027	0.0098	0.0498
000009.SZ	0.0067	0.0161	0.0467
000010.SZ	-0.0151	0.012	0.01
000011.SZ	0.0003	-0.0025	-0.0035
000012.SZ	0.0257	0.0599	0.0903
000014.SZ	-0.0068	-0.0148	-0.025
000016.SZ	0.003	0.0046	-0.0159
000017.SZ	0.0124	0.0374	0.1625
000018.SZ	0.0579	0.1447	0.2095
000019.SZ	-0.0066	-0.0163	-0.0299
000020.SZ	0.0015	0.0231	0.0144
000021.SZ	0.0287	0.0414	0.0574
000022.SZ	0.0269	0.06	0.0945
000023.SZ	-0.0011	0.0202	0.0215
000025.SZ	0.0071	0.0202	0.0297
000026.SZ	0.0118	0.0262	0.0464
000027.SZ	0.0095	0.04	0.062
000028.SZ	0.0358	0.0956	0.1255
000029.SZ	0.0133	0.0562	0.0967
000030.SZ	0.0329	0.0773	0.107
000031.SZ	0.0314	0.0278	0.0134
000032.SZ	0.0124	0.0275	0.0406
000033.SZ	0.1625	0.1896	0.4216
000034.SZ	-0.0046	0.1885	0.2416
000035.SZ	0.0193	0.0382	0.0705
000036.SZ	0.0446	0.192	0.2094
000037.SZ	-0.0755	-0.0929	-0.1062
000038.SZ	0.0319	0.0352	0.0433
000039.SZ	0.0143	-0.0135	-0.0067
000040.SZ	0.0223	0.0132	0.0214
000042.SZ	0.0079	0.0048	0.0145
000043.SZ	-0.0404	0.0009	-0.0067
000045.SZ	-0.0047	-0.0139	-0.0244
000046.SZ	0.0138	0.07	0.1364
000048.SZ	0.0105	0.0201	0.0409
000049.SZ	0.0409	0.0762	0.1358
000050.SZ	0.0068	0.0198	0.0281
000055.SZ	0.0167	0.0406	0.0728
000056.SZ	0.0041	0.0101	0.0148
000058.SZ	0.0119	0.0182	0.0285
000059.SZ	0.0507	0.0971	0.1241
000060.SZ	-0.0072	0.0059	0.0219
000061.SZ	0.0009	0.0068	0.0438
000062.SZ	0.0162	0.0355	0.0726
000063.SZ	0.0318	0.0583	0.0932
000065.SZ	0.0162	0.0554	0.0792
000066.SZ	-0.0076	-0.0028	0.0102
000068.SZ	-0.0214	-0.0391	-0.0521
000069.SZ	0.0157	0.0413	0.075
000070.SZ	0.0222	0.0494	0.0773
000078.SZ	0.0215	0.0298	0.0663
000088.SZ	0.0135	0.0283	0.048
000089.SZ	0.013	0.0256	0.0394
000090.SZ	0.007	0.0292	0.0363
000096.SZ	0.004	0.0402	0.0512
000099.SZ	0.0065	0.015	0.0271
000100.SZ	0.0107	0.0251	0.062
000150.SZ	0.4481	0.4377	0.4497
000151.SZ	0.0236	0.0558	0.0761
000153.SZ	0.0057	0.0231	0.0374
000155.SZ	None	None	None
000156.SZ	0.0158	0.0315	0.0485
000157.SZ	-0.0167	-0.0216	-0.0208
000158.SZ	-0.005	-0.0034	-0.0109
000159.SZ	-0.0114	-0.0072	0.0054
000166.SZ	0.0209	0.0425	0.0763
000301.SZ	0.0114	0.0274	0.0449
000333.SZ	0.0758	0.1817	0.2381
000338.SZ	0.0139	0.033	0.0478
000400.SZ	0.0057	0.0174	0.0385
000401.SZ	-0.084	-0.0976	-0.0464
000402.SZ	0.0301	0.0297	0.0315
000403.SZ	0.0347	0.0811	0.1105
000404.SZ	0.0222	0.0554	0.0785
000407.SZ	0.0293	0.0087	0.0092
000408.SZ	0.0038	0.6414	0.1674
000409.SZ	0.0049	0.0027	0.0018
000410.SZ	-0.0623	-0.2416	-0.4804
000411.SZ	0.0269	0.058	0.0848
000413.SZ	0.024	0.0378	0.0444
000415.SZ	0.0079	0.0264	0.051
000416.SZ	-0.0129	-0.004	0.0114
000417.SZ	0.0281	0.0538	0.0669
000418.SZ	0.0599	0.1107	0.1684
000419.SZ	0.0181	0.0398	0.0441
000420.SZ	0.0026	0.0042	0.0122
000421.SZ	0.0277	0.0511	0.0557
000422.SZ	0.0019	0.0023	0.0027
000423.SZ	0.0747	0.1157	0.1666
000425.SZ	0.0005	0.0062	0.0081
000426.SZ	-0.0014	0.0086	0.0352
000428.SZ	-0.0182	-0.0278	-0.0394
000429.SZ	0.0244	0.078	0.1202
000430.SZ	0.0032	0.0561	0.147
000488.SZ	0.0221	0.0519	0.08
000498.SZ	-0.0007	0.0428	0.0786
000501.SZ	0.0547	0.1068	0.1431
000502.SZ	-0.0879	-0.1375	-0.2127
000503.SZ	-0.0194	-0.0412	-0.0636
000504.SZ	None	None	None
000505.SZ	None	None	None
000506.SZ	0.0113	0.0027	0.0044
000507.SZ	0.0098	0.0284	0.0328
000509.SZ	-0.1593	-0.5233	-0.7896
000510.SZ	0.0019	0.011	0.0239
000511.SZ	0.0005	-0.0384	-0.0576
000513.SZ	0.0516	0.0908	0.1155
000514.SZ	-0.0017	0.0019	0.0039
000516.SZ	0.0161	0.0395	0.0572
000517.SZ	0.0007	0.005	0.0057
000518.SZ	-0.0016	-0.0081	0.0169
000519.SZ	0.0024	0.0071	0.011
000520.SZ	0.0099	-0.0638	-0.0125
000521.SZ	0.0158	0.0322	0.048
000523.SZ	0.0036	0.0087	0.0143
000524.SZ	0.0107	0.0349	0.0473
000525.SZ	0.0063	0.0133	0.0091
000526.SZ	-0.0043	-0.0838	-0.2855
000528.SZ	0.0017	0.0018	0.0007
000529.SZ	0.0169	0.0397	0.067
000530.SZ	0.0098	0.0235	0.0454
000531.SZ	0.0297	0.0647	0.1163
000532.SZ	0.0093	0.0331	0.0432
000533.SZ	0.0216	0.0327	0.0116
000534.SZ	-0.0205	0.0668	0.0515
000536.SZ	0.0209	0.1331	0.0516
000537.SZ	0.0315	0.0455	0.1207
000538.SZ	0.0453	0.1005	0.165
000539.SZ	0.0046	0.0315	0.0619
000540.SZ	0.0787	0.1292	0.1534
000541.SZ	0.0213	0.0399	0.0557
000543.SZ	0.038	0.0584	0.0845
000544.SZ	0.0034	0.0498	0.0814
000545.SZ	0.0088	0.0191	0.0269
000546.SZ	-0.0107	0.0419	0.1132
000547.SZ	0.0092	0.0171	0.0285
000548.SZ	0.0009	0.0312	0.0395
000550.SZ	0.0339	0.0593	0.0905
000551.SZ	0.0092	0.0291	0.0402
000552.SZ	0.0085	0.0124	0.0195
000553.SZ	0.0038	0.008	0.0098
000554.SZ	0.0001	0.0013	0.0033
000555.SZ	0.0039	0.0243	0.0375
000557.SZ	-0.0118	-0.0295	-0.0315
000558.SZ	0.0129	0.0179	0.0163
000559.SZ	0.0537	0.117	0.1479
000560.SZ	0.0044	0.0097	0.0164
000561.SZ	-0.0055	0.0346	0.0666
000563.SZ	0.0191	0.0371	0.046
000564.SZ	0.01	0.0143	0.0016
000565.SZ	0.0154	0.0428	0.067
000566.SZ	0.0254	0.0487	0.0438
000567.SZ	0.0098	0.0052	0.0074
000568.SZ	0.0563	0.1086	0.1443
000570.SZ	0.0122	0.0176	0.0258
000571.SZ	0.0088	0.0165	0.0291
000572.SZ	0.0113	0.0236	0.0282
000573.SZ	0.005	0.0118	0.0157
000576.SZ	-0.0123	-0.0293	-0.0611
000581.SZ	0.0339	0.0788	0.1078
000582.SZ	0.0156	0.0437	0.0637
000584.SZ	-0.0131	-0.0175	-0.0212
000585.SZ	-0.0158	-0.0452	-0.0815
000586.SZ	-0.0071	0.0029	0.0115
000587.SZ	0.02	0.0626	0.0884
000589.SZ	-0.0019	-0.0146	0.002
000590.SZ	0.0635	0.0564	0.0582
000591.SZ	0.0048	0.0261	0.0478
000592.SZ	0.0004	0.0063	0.0068
000593.SZ	0.0031	0.0073	0.0051
000595.SZ	-0.0058	-0.038	-0.0765
000596.SZ	0.0689	0.086	0.1142
000597.SZ	-0.0018	0.0014	0.0027
000598.SZ	0.0273	0.0561	0.089
000599.SZ	0.0095	0.021	0.0313
000600.SZ	0.0599	0.1073	0.1493
000601.SZ	0.0399	0.0922	0.1119
000603.SZ	0.0211	0.0707	0.0848
