,Open,High,low,Close,AvgPrice,Turn,Volume,Amount,Tnum,mean_volume,std_volume,zscore_volume,signal
2009-02-12,3.6142,3.7647,3.5188,3.7145,3.6543,4.582,34155555.0,248610127.42,16625.0,,,,0
2009-02-13,3.7296,3.9956,3.6593,3.8852,3.8501,5.366,40002079.0,306909490.02,17276.0,,,,0
2009-02-16,3.9254,4.0659,3.84,4.0107,3.9505,4.516,33660078.0,264886220.3,15421.0,,,,0
2009-02-17,3.9655,3.9956,3.6643,3.6945,3.8149,5.959,44419231.0,337666434.18,20367.0,,,,0
2009-02-18,3.6292,3.8049,3.569,3.8049,3.7145,6.456,48125877.0,355929713.76,19378.0,,,,0
2009-02-19,3.8049,4.0559,3.8049,4.0458,3.9655,6.855,51095614.0,403538068.35,22099.0,,,,0
2009-02-20,4.0559,4.347,3.9053,4.3119,4.1663,6.485,48344513.0,401330612.16,21055.0,,,,0
2009-02-23,4.3771,4.7436,4.3219,4.7436,4.5277,8.506,63407221.0,571965739.7,25144.0,,,,0
2009-02-24,4.7084,4.8389,4.5076,4.5327,4.6633,10.065,75024197.0,697265811.55,34400.0,,,,0
2009-02-25,4.6181,4.6683,4.081,4.3169,4.337,11.399,84971261.0,734005033.61,34479.0,,,,0
2009-02-26,4.2165,4.2416,3.8852,3.8852,4.0458,7.812,58235502.0,469514136.81,27288.0,,,,0
2009-02-27,3.7698,4.086,3.7346,3.9756,3.9053,9.136,68102719.0,530009326.32,28456.0,,,,0
2009-03-02,3.9103,4.2516,3.8902,4.2115,4.091,6.974,51982731.0,423790719.57,22832.0,,,,0
2009-03-03,4.1061,4.4173,4.0509,4.2115,4.2717,6.503,48476154.0,412431951.71,24679.0,,,,0
2009-03-04,4.2165,4.5779,4.2115,4.4575,4.4173,7.516,56024299.0,493206487.63,26154.0,,,,0
2009-03-05,4.4876,4.6181,4.342,4.4273,4.4926,7.278,54255603.0,485459197.01,25345.0,,,,0
2009-03-06,4.3169,4.3822,4.1262,4.2667,4.2516,5.522,41165709.0,348656150.28,23716.0,,,,0
2009-03-09,4.2667,4.342,3.84,3.9806,4.0559,5.667,42241662.0,341163839.87,24635.0,,,,0
2009-03-10,3.8802,4.1412,3.8501,4.1312,4.0308,3.626,27030512.0,216919937.58,14758.0,,,,0
2009-03-11,4.2265,4.2667,3.9454,3.9756,4.086,4.51,33615787.0,273678275.74,17477.0,,,,0
2009-03-12,3.9756,4.096,3.82,4.0408,3.9806,2.761,20580990.0,163304420.21,13362.0,,,,0
2009-03-13,4.081,4.3872,4.0408,4.1663,4.2265,6.181,46078676.0,387871257.75,28883.0,,,,0
2009-03-16,4.0559,4.1864,3.9655,4.1312,4.076,3.103,23129615.0,187822417.29,15297.0,,,,0
2009-03-17,4.1211,4.3671,4.076,4.3169,4.2567,4.714,35137076.0,297917442.6,22380.0,,,,0
2009-03-18,4.3069,4.5528,4.2717,4.4223,4.4022,6.713,50037640.0,438879982.58,27718.0,,,,0
2009-03-19,4.4575,4.598,4.3721,4.5026,4.4826,4.612,34378440.0,307062923.11,22278.0,,,,0
2009-03-20,4.5428,4.5629,4.3219,4.5076,4.4675,4.658,34718836.0,308838064.29,22810.0,44328194.68,22339166.8958,-0.430157432675,0
2009-03-23,4.5177,4.7486,4.4675,4.5679,4.603,5.204,38792623.0,355673829.08,25540.0,44866865.58,21859836.9961,-0.277872272382,0
2009-03-24,4.6131,4.8088,4.5428,4.7135,4.7285,5.216,38883665.0,366361225.74,24049.0,45267216.52,21555110.6549,-0.296150255139,0
2009-03-25,4.6833,4.7185,4.3972,4.3972,4.5679,4.982,37135651.0,338078858.05,25508.0,45703268.68,21153992.0057,-0.405011861482,0
