sid	unlock_date	total_equity	ratio_to_total_equity	type	after_ratio_to_total_equity	before_ratio_to_total_equity	after_total_number	before_total_number	cumsum_unlock_times
v0	v1	v2	v3	v4	v5	v6	v7	v8	v9
sid	date	c	c	d	c	c	c	c	d
000027.SZ	20070427	120249.53	3.65	股权分置限售股份	49.54	45.89	59570.47	55178.61	2
002133.SZ	20070427	24930	20.22	首发一般股份	20.22		5040	0	1
601998.SS	20070427	3830052.31	3.01	首发一般股份	3.01		115164.3	0	1
002132.SZ	20070427	16307.8	20.11	首发一般股份	20.11		3280	0	1
000050.SZ	20070427	33192.5	5	股权分置限售股份	41.16	36.16	13662.02	12002.4	2
002131.SZ	20070427	7528	20.19	首发一般股份	20.19		1520	0	1
000541.SZ	20070427	35844.83	13.65	股权分置限售股份	54.43	40.78	19508.61	14616.06	1
600563.SS	20070430	22500	13.5	股权分置限售股份	55.17	41.67	12412.5	9375	2
600298.SS	20070430	13570	25.63	股权分置限售股份	59.68	34.05	8098.15	4620	2
600309.SS	20070430	118809.6	4.14	股权分置限售股份	49.5	45.36	58816.18	53897.46	3
600501.SS	20070430	32440.3	4.21	公开增发机构配售股份	52.91	48.7	17164.38	15799.78	4
600235.SS	20070430	26340	5.48	股权分置限售股份	50.79	45.31	13377.77	11934	2
600565.SS	20070430	16000	5	股权分置限售股份	45.61	40.61	7297.6	6497.6	3
600577.SS	20070430	16360	9.74	股权分置限售股份	42.74	33.01	6993	5400	2
601600.SS	20070430	1288660.79	8.91	首发一般股份	8.91		114807.74	0	1
600155.SS	20070430	41250	10	股权分置限售股份	48.98	38.98	20205	16080	2
000338.SZ	20070430	52065.36	33.71	首发一般股份	33.71		17551.3	0	1
600476.SS	20070508	10325	20.12	股权分置限售股份	64.19	44.07	6627.5	4550	2
601166.SS	20070508	500000	5	首发机构配售股份	14.02	9.02	70100	45075	2
600976.SS	20070508	15339.86	22.47	股权分置限售股份	79.52	57.04	12197.59	8750	2
600816.SS	20070508	45410.98	5.79	股权分置限售股份	64.51	58.72	29296.66	26667.47	1
000559.SZ	20070508	102558.74	3.75	股权分置限售股份	49.87	46.12	51143.66	47295.02	2
