sid	unlock_date	total_equity	ratio_to_total_equity	type	after_ratio_to_total_equity	before_ratio_to_total_equity	after_total_number	before_total_number	cumsum_unlock_times
v0	v1	v2	v3	v4	v5	v6	v7	v8	v9
sid	date	c	c	d	c	c	c	c	d
002455.SZ	20100803	8780	20.05	首发一般股份	20.05		1760	0	1
002456.SZ	20100803	9600	20	首发一般股份	20		1920	0	1
601717.SS	20100803	70000	16	首发一般股份	16		11200	0	1
002123.SZ	20100804	33600	8.57	定向增发机构配售股份	87.08	78.51	29259.96	26379.96	5
600701.SS	20100805	49878.19	22.31	股权分置限售股份	100	77.69	49878.19	38748.19	4
600398.SS	20100805	64660.41	7.32	股权分置限售股份	84.03	76.71	54335.75	49602.57	3
600707.SS	20100805	73675.77	0.98	股权分置限售股份	56.74	55.76	41802.88	41082.88	6
000608.SZ	20100805	74991.33	29.12	定向增发机构配售股份	100	70.88	74991.33	53151.33	5
000519.SZ	20100805	19115.36	0.79	股权分置限售股份	82.59	81.8	15787.48	15636.28	6
000668.SZ	20100805	14684.19	8.16	股权分置限售股份	55.71	47.55	8180.02	6982.14	3
002401.SZ	20100806	5320	5	首发机构配售股份	25	20	1330	1064	2
002398.SZ	20100806	12000	5	首发机构配售股份	25	20	3000	2400	2
002400.SZ	20100806	8237.18	5	首发机构配售股份	25.01	20.01	2060	1648	2
002399.SZ	20100806	40010	2	首发机构配售股份	10.02	8.02	4010	3210	2
000430.SZ	20100806	22003.54	34.15	股权分置限售股份	84.5	50.35	18592.38	11078.79	2
300100.SZ	20100806	9350	20.11	首发一般股份	20.11		1880	0	1
300099.SZ	20100806	4134	20.17	首发一般股份	20.17		834	0	1
300101.SZ	20100806	6950	20.14	首发一般股份	20.14		1400	0	1
002147.SZ	20100809	22560	5.92	首发原股东限售股份	67.33	61.41	15190.16	13853.75	5
600143.SS	20100809	139650	52.76	股权分置限售股份	100	47.24	139650	65976.62	7
000034.SZ	20100809	35797.35	4.11	股权分置限售股份	56.77	52.67	20323.89	18853.02	3
002032.SZ	20100809	57725.2	23.78	股权分置限售股份	47.73	23.95	27552.15	13822.59	4
600273.SS	20100810	31500	31.75	定向增发机构配售股份	100	68.25	31500	21500	5
000948.SZ	20100810	21055.1	3.81	股权分置限售股份	68.61	64.8	14445.47	13642.72	6
002148.SZ	20100810	7560	6.75	首发原股东限售股份	69.62	62.87	5263.55	4753.25	4
002150.SZ	20100810	15637.5	3.74	首发原股东限售股份	35.65	31.91	5575.5	4990.5	4
002149.SZ	20100810	17463	36.87	首发原股东限售股份	78.53	41.66	13713	7275	4
002460.SZ	20100810	10000	20	首发一般股份	20		2000	0	1
002458.SZ	20100810	10800	20	首发一般股份	20		2160	0	1
002459.SZ	20100810	17100	20.12	首发一般股份	20.12		3440	0	1
002403.SZ	20100811	24000	5	首发机构配售股份	25	20	6000	4800	2
002278.SZ	20100811	21793.61	19.52	首发原股东限售股份	44.85	25.33	9773.44	5520	3
002024.SZ	20100811	699621.19	6.97	股权分置限售股份	74.35	67.38	520180.74	471385.45	7
002402.SZ	20100811	6670	5.01	首发机构配售股份	25.04	20.03	1670	1336	2
002404.SZ	20100811	13350	5.02	首发机构配售股份	25.09	20.07	3350	2680	2
002279.SZ	20100811	10987.21	10.32	首发原股东限售股份	35.39	25.07	3887.91	2754	3
002146.SZ	20100811	143360	70.74	首发原股东限售股份	88.24	17.5	126507.09	25088.85	4
600192.SS	20100812	34174.8	39.17	股权分置限售股份	100	60.83	34174.8	20788.08	3
600976.SS	20100812	15339.86	0.07	股权分置限售股份	99.93	99.87	15329.86	15319.86	5
300103.SZ	20100812	6535	20.02	首发一般股份	20.02		1308	0	1
300104.SZ	20100812	10000	20	首发一般股份	20		2000	0	1
300102.SZ	20100812	11800	20	首发一般股份	20		2360	0	1
002152.SZ	20100813	34214.16	50.23	首发原股东限售股份	95.58	45.35	32701.13	15516.96	4
002153.SZ	20100813	22400	19.95	首发原股东限售股份	51.93	31.98	11632.23	7163.43	4
002151.SZ	20100813	9095	19.24	首发原股东限售股份	44.47	25.23	4044.47	2295	3
600449.SS	20100816	19513.39	28.35	股权分置限售股份	100	71.65	19513.39	13980.55	6
600735.SS	20100816	20899.75	46.09	股权分置限售股份	100	53.91	20899.75	11267.31	1
600069.SS	20100816	82537.41	1.45	定向增发机构配售股份	73.43	71.97	60606	59406	7
600133.SS	20100816	49606.6	6.32	股权分置限售股份	76	69.69	37702.56	34569.68	5
002156.SZ	20100816	34710	72.02	首发原股东限售股份	100	27.98	34710	9711	5
002155.SZ	20100816	54740	44.04	首发原股东限售股份	99.97	55.93	54725.44	30618.74	4
002154.SZ	20100816	29374.75	44.91	首发原股东限售股份	79.8	34.89	23440.92	10248	4
601718.SS	20100816	385700	15	首发一般股份	15		57850	0	1
600408.SS	20100817	100680	1.79	定向增发机构配售股份	84.21	82.42	84780	82980	5
600383.SS	20100817	447150.86	12.18	定向增发机构配售股份	100	87.82	447150.86	392688	7
002158.SZ	20100817	18172.88	73.63	首发原股东限售股份	100	26.37	18172.88	4792.27	6
002159.SZ	20100817	12000	36.44	首发原股东限售股份	99.89	63.44	11986.55	7613.15	4
002157.SZ	20100817	26941.04	12.43	首发原股东限售股份	47.81	35.37	12880.09	9530.39	4
002407.SZ	20100818	10700	5.05	首发机构配售股份	25.23	20.19	2700	2160	2
601788.SS	20100818	341800	16.76	首发原股东限售股份	31.98	15.21	109300	52000	3
002405.SZ	20100818	40022.96	2.8	首发机构配售股份	13.99	11.19	5600	4480	2
002406.SZ	20100818	18700	5.03	首发机构配售股份	25.13	20.11	4700	3760	2
002408.SZ	20100818	25956	5.01	首发机构配售股份	25.04	20.03	6500	5200	2
002462.SZ	20100818	16000	20	首发一般股份	20		3200	0	1
002463.SZ	20100818	69203.03	9.25	首发一般股份	9.25		6400	0	1
002461.SZ	20100818	68016.18	8.23	首发一般股份	8.23		5600	0	1
601818.SS	20100818	3953479	6.2	首发一般股份	6.2		245000	0	1
600079.SS	20100819	47158.57	2.03	股权分置限售股份	71	68.97	33482.13	32524.52	6
600029.SS	20100820	800356.7	41.23	股权分置限售股份	59.97	18.74	480000	150000	1
300082.SZ	20100820	10800	5	首发机构配售股份	25	20	2700	2160	2
300083.SZ	20100820	10000	5	首发机构配售股份	25	20	2500	2000	2
300081.SZ	20100820	6700	5.07	首发机构配售股份	25.37	20.3	1700	1360	2
300084.SZ	20100820	6400	5	首发机构配售股份	25	20	1600	1280	2
300106.SZ	20100820	11700	20.51	首发一般股份	20.51		2400	0	1
300107.SZ	20100820	6690	20.21	首发一般股份	20.21		1352	0	1
300105.SZ	20100820	8800	20	首发一般股份	20		1760	0	1
600543.SS	20100823	32112	0.35	股权分置限售股份	100	99.65	32112	32000.3	7
600069.SS	20100823	82537.41	6.75	股权分置限售股份	80.18	73.43	66180	60606	8
002161.SZ	20100823	25680	14.25	首发原股东限售股份	63.2	48.95	16229.38	12569.45	4
002162.SZ	20100823	41800	72.27	首发原股东限售股份	100	27.73	41800	11590.19	4
002280.SZ	20100823	10700	5.08	首发原股东限售股份	30.31	25.23	3243.2	2699.99	3
002282.SZ	20100823	17340	8.33	首发原股东限售股份	33.36	25.03	5784.53	4340	3
002160.SZ	20100823	17000	45	首发原股东限售股份	100	55	17000	9350	5
002283.SZ	20100823	24000	17.02	首发原股东限售股份	42.02	25	10084.2	6000	3
002281.SZ	20100823	16000	26.25	首发原股东限售股份	51.25	25	8200	4000	3
600089.SS	20100824	202735.37	11.34	公开增发一般股份	100	88.66	202735.37	179737.57	5
600408.SS	20100825	100680	15.79	定向增发机构配售股份	100	84.21	100680	84780	6
002411.SZ	20100825	8600	5.07	首发机构配售股份	25.35	20.28	2180	1744	2
002409.SZ	20100825	11088	5.05	首发机构配售股份	25.25	20.2	2800	2240	2
002410.SZ	20100825	12000	5	首发机构配售股份	25	20	3000	2400	2
002412.SZ	20100825	7400	5.14	首发机构配售股份	25.68	20.54	1900	1520	2
300110.SZ	20100825	21360	20.07	首发一般股份	20.07		4288	0	1
300108.SZ	20100825	5200	20	首发一般股份	20		1040	0	1
300109.SZ	20100825	3600	20	首发一般股份	20		720	0	1
600550.SS	20100826	116800	48.32	股权分置限售股份	97.32	49	113664	57232	5
600723.SS	20100826	40971.8	5.03	股权分置限售股份	77.58	72.55	31787.58	29727	5
300088.SZ	20100826	12550	5.02	首发机构配售股份	25.1	20.08	3150	2520	2
000630.SZ	20100826	129436.21	33.22	定向增发机构配售股份	76.29	43.07	98753.28	55753.28	3
300086.SZ	20100826	10000	5	首发机构配售股份	25	20	2500	2000	2
300085.SZ	20100826	6000	5	首发机构配售股份	25	20	1500	1200	2
300087.SZ	20100826	5280	4.92	首发机构配售股份	25	20.08	1320	1060	2
300111.SZ	20100827	50900	8.02	首发一般股份	8.02		4080	0	1
300112.SZ	20100827	7163	20.1	首发一般股份	20.1		1440	0	1
300113.SZ	20100827	6000	20	首发一般股份	20		1200	0	1
300114.SZ	20100827	8000	20	首发一般股份	20		1600	0	1
002415.SZ	20100830	50000	2	首发机构配售股份	10	8	5000	4000	2
002413.SZ	20100830	14700	5.03	首发机构配售股份	25.17	20.14	3700	2960	2
002286.SZ	20100830	10400	20.06	首发原股东限售股份	45.06	25	4686.24	2600	3
002285.SZ	20100830	21760	6.61	首发原股东限售股份	31.61	25	6879.42	5440	3
002416.SZ	20100830	49330	2.03	首发机构配售股份	10.14	8.11	5000	4000	2
002284.SZ	20100830	19136	9.23	首发原股东限售股份	34.31	25.08	6566.4	4800	3
000686.SZ	20100830	63931.24	69.61	股权分置限售股份	100	30.39	63929.74	19428.61	4
002466.SZ	20100831	9800	20	首发一般股份	20		1960	0	1
002465.SZ	20100831	33250.65	20.45	首发一般股份	20.45		6800	0	1
002464.SZ	20100831	13500	20.74	首发一般股份	20.74		2800	0	1
600079.SS	20100901	47158.57	13.47	定向增发机构配售股份	84.46	71	39832.13	33482.13	7
002163.SZ	20100901	40177.5	5.42	首发原股东限售股份	35.83	30.41	14394.52	12217.64	4
600892.SS	20100901	6312.5	0.58	股权分置限售股份	72.58	72	4581.44	4544.76	3
002420.SZ	20100901	40100	3.14	首发机构配售股份	15.71	12.57	6300	5040	2
002417.SZ	20100901	12000	5	首发机构配售股份	25	20	3000	2400	2
002419.SZ	20100901	40010	2.5	首发机构配售股份	12.52	10.02	5010	4008	2
002418.SZ	20100901	14300	5.03	首发机构配售股份	25.17	20.14	3600	2880	2
000963.SZ	20100902	43406	7.72	股权分置限售股份	64.49	56.77	27994.14	24641.47	4
000418.SZ	20100902	54765.58	0.15	股权分置限售股份	63.72	63.57	34894.04	34813.04	7
300116.SZ	20100902	8000	20	首发一般股份	20		1600	0	1
300115.SZ	20100902	8600	20	首发一般股份	20		1720	0	1
300118.SZ	20100902	17500	20.57	首发一般股份	20.57		3600	0	1
300117.SZ	20100902	10860	20.63	首发一般股份	20.63		2240	0	1
600550.SS	20100903	116800	2.68	定向增发机构配售股份	100	97.32	116800	113664	6
002422.SZ	20100903	24000	5	首发机构配售股份	25	20	6000	4800	2
002423.SZ	20100903	46551	3.39	首发机构配售股份	16.97	13.58	7900	6320	2
000009.SZ	20100903	109075.05	0.08	股权分置限售股份	98.29	98.22	107214.49	107129.9	6
002289.SZ	20100903	7350	19.6	首发原股东限售股份	44.77	25.17	3290.35	1850	3
002291.SZ	20100903	27950	7.81	首发原股东限售股份	33.4	25.58	9334	7150	3
002290.SZ	20100903	15048	13.55	首发原股东限售股份	38.67	25.12	5819.27	3780	3
000723.SZ	20100903	13959.92	10	股权分置限售股份	65.7	55.7	9171.07	7775.08	4
002421.SZ	20100903	7800	5.13	首发机构配售股份	25.64	20.51	2000	1600	2
002424.SZ	20100903	14700	5.03	首发机构配售股份	25.17	20.14	3700	2960	2
600084.SS	20100906	80991.93	20.96	定向增发机构配售股份	57.35	36.38	46446.19	29468.27	4
600017.SS	20100906	151010.2	16.52	定向增发机构配售股份	100	83.48	151010.2	126059.2	5
600299.SS	20100906	52270.76	3.94	定向增发机构配售股份	55.89	51.95	29211.93	27153.67	4
600425.SS	20100906	47869.5	22.94	配股一般股份	100	77.06	47869.5	36889.12	8
600416.SS	20100906	30424.23	22.76	配股一般股份	100	77.24	30424.23	23500	7
600425.SS	20100906	47869.5	22.94	配股一般股份	100	77.06	47869.5	36889.12	8
600416.SS	20100906	30424.23	22.76	配股一般股份	100	77.24	30424.23	23500	7
002032.SZ	20100906	57725.2	26.31	定向增发机构配售股份,股权分置限售股份	74.04	47.73	42742.37	27552.14	5
000532.SZ	20100906	34470.83	0.22	股权分置限售股份	99.26	99.04	34217.32	34141.01	9
000623.SZ	20100907	57335.8	2	股权分置限售股份	90.37	88.37	51811.6	50664.88	5
002052.SZ	20100907	34147.98	12.52	定向增发机构配售股份	76.05	63.53	25970.89	21693.89	5
002146.SZ	20100907	143360	10.6	定向增发机构配售股份	87.12	76.51	124891.73	109691.73	5
002428.SZ	20100908	12560	5.1	首发机构配售股份	25.48	20.38	3200	2560	2
002427.SZ	20100908	18322.76	5.02	首发机构配售股份	25.1	20.08	4599.4	3679.4	2
002426.SZ	20100908	40041	2	首发机构配售股份	10.01	8.01	4010	3208	2
002288.SZ	20100908	13748.8	3.49	首发原股东限售股份	29.09	25.6	4000	3520	3
002425.SZ	20100908	10700	5.05	首发机构配售股份	25.23	20.19	2700	2160	2
002468.SZ	20100908	16000	20	首发一般股份	20		3200	0	1
002467.SZ	20100908	12000	20	首发一般股份	20		2400	0	1
002470.SZ	20100908	70000	11.43	首发一般股份	11.43		8000	0	1
002469.SZ	20100908	6624.41	20.05	首发一般股份	20.05		1328	0	1
600580.SS	20100909	42894.22	0.51	股权激励一般股份	100	99.49	42894.22	42676.16	9
002429.SZ	20100910	47254.25	2.37	首发机构配售股份	11.85	9.48	5600	4480	2
002432.SZ	20100910	12400	5	首发机构配售股份	25	20	3100	2480	2
002431.SZ	20100910	12000	5	首发机构配售股份	25	20	3000	2400	2
002430.SZ	20100910	40100	3.54	首发机构配售股份	17.71	14.16	7100	5680	2
002472.SZ	20100910	11880	20.2	首发一般股份	20.2		2400	0	1
002473.SZ	20100910	8000	20	首发一般股份	20		1600	0	1
002471.SZ	20100910	16000	20	首发一般股份	20		3200	0	1
002166.SZ	20100913	12953.38	14.9	首发原股东限售股份	67.14	52.24	8697.2	6766.52	4
600572.SS	20100913	32400	23.78	定向增发机构配售股份	75.84	52.06	24571.04	16867.04	11
002165.SZ	20100913	25200	44.59	首发原股东限售股份	97.82	53.23	24651.34	13413.58	4
000550.SZ	20100913	86321.4	0.04	股权分置限售股份	59.81	59.77	51630.84	51597.24	5
002167.SZ	20100913	17971.2	33.27	首发原股东限售股份	97.22	63.96	17471.96	11493.8	6
600523.SS	20100914	28879.38	3.7	股权分置限售股份	52.36	48.66	15121.6	14051.67	6
600331.SS	20100914	103200	19.38	定向增发机构配售股份	78.29	58.91	80800	60800	5
000429.SZ	20100914	125711.77	0.01	股权分置限售股份	37.09	37.08	46625.49	46612.02	8
600760.SS	20100915	27300.47	10	股权分置限售股份	89.9	79.9	24541.98	21811.93	6
002477.SZ	20100915	13350	20.07	首发一般股份	20.07		2680	0	1
002003.SZ	20100915	20741.1	21.99	股权分置限售股份	85.94	63.94	17823.87	13262.37	8
002475.SZ	20100915	17380	20.16	首发一般股份	20.16		3504	0	1
002476.SZ	20100915	12000	20	首发一般股份	20		2400	0	1
002474.SZ	20100915	10370	20.06	首发一般股份	20.06		2080	0	1
002061.SZ	20100916	13998	36.43	首发原股东限售股份	100	63.57	13998	8898	5
000762.SZ	20100916	27570.12	17.68	股权分置限售股份	99.98	82.3	27563.99	22690.91	5
002082.SZ	20100916	23800	12.8	首发原股东限售股份	65.66	52.86	15627.4	12580.1	6
000807.SZ	20100916	118397.92	5.51	定向增发机构配售股份	55.11	49.6	65244.1	58722.36	5
000517.SZ	20100916	106130.75	2.89	股权分置限售股份	14.44	11.55	15325.22	12255.58	2
000886.SZ	20100916	98882.83	0.96	股权分置限售股份	96.19	95.23	95114.25	94165.75	6
600815.SS	20100916	77459.72	9.71	其他类型	100	90.29	77459.72	69942.02	6
000004.SZ	20100917	8397.67	16.16	股权分置限售股份	99.88	83.72	8387.72	7030.74	5
000040.SZ	20100917	46959.34	14.91	追加承诺限售股份	92.84	77.94	43597.86	36597.86	6
002011.SZ	20100917	37236.37	11.01	定向增发机构配售股份	39.56	28.55	14730.43	10630.43	4
300119.SZ	20100917	7414.8	20.07	首发一般股份	20.07		1488	0	1
300121.SZ	20100917	6000	20	首发一般股份	20		1200	0	1
000950.SZ	20100917	59879.92	10.54	定向增发机构配售股份	59.08	48.53	35376.19	29062.5	4
300120.SZ	20100917	8700	20.23	首发一般股份	20.23		1760	0	1
600499.SS	20100920	59837.83	1.45	股权激励限售股份	100	98.55	59837.83	58967.48	8
601169.SS	20100920	622756.19	36.48	首发原股东限售股份	100	63.52	622756.19	395552.91	6
002434.SZ	20100920	17000	5	首发机构配售股份	25	20	4250	3400	2
002435.SZ	20100920	13200	5	首发机构配售股份	25	20	3300	2640	2
002436.SZ	20100920	11170	5	首发机构配售股份	25	20	2793	2234.4	2
002433.SZ	20100920	10000	5	首发机构配售股份	25	20	2500	2000	2
601618.SS	20100921	1911000	0.67	首发原股东限售股份	18.98	18.32	362739.15	350000	3
002171.SZ	20100921	16302	63.1	首发原股东限售股份	98.74	35.64	16097.21	5810.51	4
002170.SZ	20100921	30456	35.43	首发原股东限售股份	60.96	25.53	18566.01	7776	3
002168.SZ	20100921	30043.87	15.99	首发原股东限售股份	48.03	32.03	14428.99	9624.31	4
002172.SZ	20100921	52200	54.54	首发原股东限售股份	95.52	40.98	49860	21390	4
002073.SZ	20100921	74236.5	4.26	首发原股东限售股份	74.77	70.51	55504.93	52344.6	5
002169.SZ	20100921	16579.2	53.9	首发原股东限售股份	100	46.1	16579.2	7643.25	5
002478.SZ	20100921	40010	13.9	首发一般股份	13.9		5560	0	1
002479.SZ	20100921	21400	20.19	首发一般股份	20.19		4320	0	1
002481.SZ	20100921	6000	20	首发一般股份	20		1200	0	1
002480.SZ	20100921	14000	20	首发一般股份	20		2800	0	1
600815.SS	20100921	77970.96	0.66	其他类型	100	99.34	77970.96	77459.72	7
600082.SS	20100927	64611.58	3.1	定向增发机构配售股份	97.07	93.97	62717.38	60717.38	8
600150.SS	20100927	66255.65	60.37	定向增发机构配售股份	100	39.63	66255.65	26255.65	6
600676.SS	20100927	73139.59	49.18	股权分置限售股份,定向增发机构配售股份	100	50.82	73139.59	37170.61	3
600362.SS	20100927	302283.37	42.41	定向增发机构配售股份,股权分置限售股份	54.1	11.69	163535.17	35327.68	4
002438.SZ	20100927	10400	5	首发机构配售股份	25	20	2600	2080	2
002437.SZ	20100927	14000	5	首发机构配售股份	25	20	3500	2800	2
002396.SZ	20100927	17553	5.01	首发机构配售股份	25.07	20.05	4400	3520	2
002173.SZ	20100927	10050	20.9	首发原股东限售股份	46.27	25.37	4650	2550	3
600068.SS	20100927	348745.9	37.83	其他类型	100	62.17	348745.9	216807.12	9
600588.SS	20100927	81613.19	0.33	股权激励限售股份	96.63	96.3	78864.6	78595.74	9
300090.SZ	20100927	12763.61	5.01	首发机构配售股份	25.07	20.06	3200	2560	2
300080.SZ	20100927	14000	5	首发机构配售股份	25	20	3500	2800	2
300091.SZ	20100927	8360	5.02	首发机构配售股份	25.12	20.1	2100	1680	2
002439.SZ	20100927	9875.91	5.06	首发机构配售股份	25.31	20.25	2500	2000	2
300089.SZ	20100927	10000	5	首发机构配售股份	25	20	2500	2000	2
600778.SS	20100928	31149.14	0.34	股权分置限售股份	99.15	98.81	30883.66	30779.11	7
000043.SZ	20100928	22232.05	25.19	定向增发机构配售股份	75.04	49.85	16682.63	11082.63	5
300123.SZ	20100928	8694.1	20.24	首发一般股份	20.24		1760	0	1
300122.SZ	20100928	40000	8	首发一般股份	8		3200	0	1
002174.SZ	20100928	8293.99	59	首发原股东限售股份	100	41	8293.99	3400.74	4
601018.SS	20100928	1280000	8.59	首发一般股份	8.59		110000	0	1
300124.SZ	20100928	10800	20	首发一般股份	20		2160	0	1
600588.SS	20100929	81613.19	1.69	股权激励限售股份	98.32	96.63	80244.89	78864.6	10
600486.SS	20100929	17216.61	11.66	定向增发机构配售股份	100	88.34	17216.61	15210	7
600703.SS	20100929	55536.99	11.34	定向增发机构配售股份	39.05	27.71	21688.51	15388.51	4
002296.SZ	20100929	10455	4.55	首发原股东限售股份	29.76	25.2	3111	2635	3
600000.SS	20100929	1147905.93	10.24	定向增发机构配售股份	100	89.76	1147905.93	1030365.24	7
002298.SZ	20100929	16500	21.68	首发原股东限售股份	47.13	25.45	7776.72	4200	3
000685.SZ	20100929	59898.71	0.06	股权分置限售股份	26.31	26.25	15760.3	15726.04	6
002484.SZ	20100929	16000	20	首发一般股份	20		3200	0	1
002295.SZ	20100929	14120	29.37	首发原股东限售股份	33.79	4.42	4771.42	624.42	3
002483.SZ	20100929	20000	20	首发一般股份	20		4000	0	1
002092.SZ	20100929	115434	14.14	其他类型	69.73	55.59	80488.11	64168.11	5
002482.SZ	20100929	16000	20	首发一般股份	20		3200	0	1
002117.SZ	20100930	12412.42	11.38	公开增发一般股份	100	88.62	12412.42	11000	5
002297.SZ	20100930	21400	37.3	首发原股东限售股份	62.53	25.23	13381.4	5400	3
600173.SS	20101008	72514.75	51.49	股权分置限售股份,定向增发机构配售股份	99.99	48.5	72505.75	35170.88	7
300092.SZ	20101008	9100	5.05	首发机构配售股份	25.27	20.22	2300	1840	2
300093.SZ	20101008	12000	5	首发机构配售股份	25	20	2999.98	2399.98	2
002442.SZ	20101008	20000	5	首发机构配售股份	25	20	5000	4000	2
002441.SZ	20101008	11600	5	首发机构配售股份	25	20	2900	2320	2
002443.SZ	20101008	13350	5.02	首发机构配售股份	25.09	20.07	3350	2680	2
002440.SZ	20101008	29500	5	首发机构配售股份	25.02	20.02	7382	5905.6	2
300094.SZ	20101008	32000	5	首发机构配售股份	25	20	8000	6400	2
000566.SZ	20101008	21284.9	0.4	股权激励限售股份	98.39	97.99	20941.87	20857.37	10
601088.SS	20101011	1988962.05	72.96	首发原股东限售股份	82.01	9.05	1631103.8	180000	3
002255.SZ	20101011	12910	12.62	定向增发机构配售股份	37.64	25.02	4859	3229.75	4
000953.SZ	20101011	29405.94	49.14	股权分置限售股份	99.96	50.82	29393.38	14944.02	4
601177.SS	20101011	40006	20.2	首发一般股份	20.2		8080	0	1
600766.SS	20101012	17116.55	30.69	股权分置限售股份	75.19	44.5	12870.41	7617.41	4
601000.SS	20101013	100000	4	首发机构配售股份	20	16	20000	16000	2
002444.SZ	20101013	25350	5.01	首发机构配售股份	25.05	20.04	6350	5080	2
002445.SZ	20101013	12300	5.04	首发机构配售股份	25.2	20.16	3100	2480	2
002447.SZ	20101013	6700	5.07	首发机构配售股份	25.37	20.3	1700	1360	2
600432.SS	20101013	81112.15	7.14	定向增发机构配售股份	94.11	86.96	76334.1	70538.7	6
002176.SZ	20101013	10844.66	31.43	首发原股东限售股份	99.92	68.49	10835.86	7427.33	5
300127.SZ	20101013	16157.32	20.3	首发一般股份	20.3		3280	0	1
300126.SZ	20101013	8420	20	首发一般股份	20		1684	0	1
300125.SZ	20101013	5900	20.34	首发一般股份	20.34		1200	0	1
002446.SZ	20101013	10215.27	5.09	首发机构配售股份	25.45	20.36	2600	2080	2
601377.SS	20101013	220000	9.56	首发一般股份	9.56		21040	0	1
300128.SZ	20101013	10000	20	首发一般股份	20		2000	0	1
000695.SZ	20101014	22214.75	32.22	股权分置限售股份	99.81	67.59	22171.64	15014.98	5
002175.SZ	20101014	8539.83	9.84	首发原股东限售股份	68.45	58.62	5845.78	5005.69	5
000069.SZ	20101014	310747.8	0.54	股权激励限售股份	42.01	41.48	130554.34	128888.13	5
600337.SS	20101015	51060.4	21.28	定向增发机构配售股份	100	78.72	51060.4	40192.7	6
002091.SZ	20101015	30000	17.62	首发原股东限售股份	96.21	78.58	28861.86	23574.36	5
002088.SZ	20101015	23397.87	0.4	公开增发机构配售股份	85.75	85.36	20064.53	19971.37	7
601288.SS	20101015	32479411.7	1.55	首发机构配售股份	4.72	3.17	1534235.3	1031032.5	2
002485.SZ	20101015	20000	20	首发一般股份	20		4000	0	1
002487.SZ	20101015	12000	20	首发一般股份	20		2400	0	1
002486.SZ	20101015	20800	20	首发一般股份	20		4160	0	1
002164.SZ	20101015	22281.25	38.04	首发原股东限售股份	71.7	33.66	15975	7500	4
002449.SZ	20101018	21500	5.12	首发机构配售股份	25.58	20.47	5500	4400	2
002450.SZ	20101018	16160	5	首发机构配售股份	25	20	4040	3232	2
002414.SZ	20101018	30000	5	首发机构配售股份	25	20	7500	6000	2
002448.SZ	20101018	9251.05	5.08	首发机构配售股份	25.4	20.32	2350	1880	2
600790.SS	20101018	61877.62	5	股权分置限售股份	78.88	73.88	48811.61	45717.73	4
600322.SS	20101019	110570	5.87	定向增发机构配售股份	100	94.13	110570	104081.48	5
600993.SS	20101019	16579	0.04	股权分置限售股份	99.77	99.74	16541.62	16535.66	6
002025.SZ	20101019	33000	41.65	股权分置限售股份	99.93	58.28	32977.5	19233.94	6
002109.SZ	20101019	35840	43.29	首发原股东限售股份	100	56.71	35839.8	20323.29	4
000780.SZ	20101019	101430.63	61.42	股权分置限售股份,定向增发机构配售股份	100	38.58	101430.63	39135.9	2
300129.SZ	20101019	12000	20	首发一般股份	20		2400	0	1
000506.SZ	20101019	77418.15	1.7	股权分置限售股份	33.44	31.73	25887.41	24567.85	2
300130.SZ	20101019	6350	20.16	首发一般股份	20.16		1280	0	1
300131.SZ	20101019	4600	20.7	首发一般股份	20.7		952	0	1
600800.SS	20101020	61127.1	1.01	股权分置限售股份	74.03	73.02	45252.21	44635.33	3
002453.SZ	20101020	12000	5	首发机构配售股份	25	20	3000	2400	2
600498.SS	20101020	44180	7.2	定向增发机构配售股份	52.45	45.25	23171.11	19991.11	4
002451.SZ	20101020	14640	5	首发机构配售股份	25	20	3660	2928	2
002452.SZ	20101020	10000	5	首发机构配售股份	25	20	2500	2000	2
002106.SZ	20101020	42885.44	0.04	首发原股东限售股份	94.92	94.88	40704.89	40688.21	10
002454.SZ	20101020	24000	5	首发机构配售股份	25	20	6000	4800	2
000012.SZ	20101020	207672.11	14.12	定向增发机构配售股份	61.37	47.25	127448.56	98123.56	9
002301.SZ	20101021	18680	15.26	首发原股东限售股份	40.31	25.05	7530	4680	3
002299.SZ	20101021	41000	24.41	首发原股东限售股份	34.41	10	14109.06	4100	3
002300.SZ	20101021	20100	13.44	首发原股东限售股份	38.81	25.37	7800.91	5100	3
000885.SZ	20101021	25254.4	2.47	定向增发机构配售股份	28.84	26.37	7284.53	6659.87	3
002489.SZ	20101021	24000	20	首发一般股份	20		4800	0	1
002491.SZ	20101021	26780	20.01	首发一般股份	20.01		5360	0	1
002490.SZ	20101021	39892.42	14.04	首发一般股份	14.04		5600	0	1
002488.SZ	20101021	12000	20	首发一般股份	20		2400	0	1
000616.SZ	20101021	99321.84	11.99	股权分置限售股份	100	88.01	99321.84	87412.15	8
000950.SZ	20101022	59879.92	29.52	定向增发机构配售股份	88.6	59.08	53054.92	35376.18	5
600736.SS	20101025	88156.8	2.64	定向增发机构配售股份	100	97.36	88156.8	85831.2	8
000966.SZ	20101025	55414.2	37.39	股权分置限售股份,定向增发机构配售股份	100	62.61	55414.2	34692.13	6
300133.SZ	20101026	5648	20	首发一般股份	20		1129.6	0	1
300134.SZ	20101026	16000	20	首发一般股份	20		3200	0	1
300132.SZ	20101026	6700	20.3	首发一般股份	20.3		1360	0	1
300135.SZ	20101026	8000	20	首发一般股份	20		1600	0	1
600697.SS	20101027	15908.81	0.13	股权分置限售股份	97.53	97.4	15515.6	15495.71	4
