代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
600766.SH	2004-11-15	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	邹积平	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	采矿业	黄金
600766.SH	2004-11-15	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	王玉华	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	采矿业	黄金
600555.SH	2004-11-12	涉嫌违反证券法律法规	上海九龙山股份有限公司	公司本身	立案调查	中国证券监督管理委员会			否	房地产业	房地产
000631.SZ	2004-11-04	未及时披露公司重大事项,信息披露虚假或严重误导性陈述			公开谴责	深圳证券交易所	0	《深圳证券交易所股票上市规则》	是	房地产业	房地产
600186.SH	2004-10-30	未及时披露公司重大事项,未依法履行其他职责			公开谴责	上海证券交易所	0	《上海证券交易所股票上市规则》	否	制造业	调味品
002016.SZ	2004-10-26	未及时披露公司重大事项			内部通报批评	深圳证券交易所	0	《深圳证券交易所股票上市规则》	否	房地产业	房地产
600746.SH	2004-10-25	未及时披露公司重大事项			公开谴责	上海证券交易所	0	《上海证券交易所股票上市规则》,《董事(监事)声明与承诺》	否	制造业	其他化学制品
000670.SZ	2004-10-16	信息披露虚假或严重误导性陈述,未及时披露公司重大事项			公开处罚	中国证券监督管理委员会	60	《中华人民共和国证券法》	否	制造业	半导体材料
600503.SH	2004-10-08	未及时披露公司重大事项	祝迪润	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	房地产
600503.SH	2004-10-08	未及时披露公司重大事项	徐闽华	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	房地产
600503.SH	2004-10-08	未及时披露公司重大事项	胡海仁	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	房地产
600503.SH	2004-10-08	未及时披露公司重大事项	杨云	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	房地产
600503.SH	2004-10-08	未及时披露公司重大事项	许章迅	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	房地产
600503.SH	2004-10-08	未及时披露公司重大事项	张子复	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	房地产
600503.SH	2004-10-08	未及时披露公司重大事项	李少林	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	房地产
600503.SH	2004-10-08	未及时披露公司重大事项	黄孙奎	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	房地产
600503.SH	2004-10-08	未及时披露公司重大事项	黄曼民	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	否	房地产业	房地产
600503.SH	2004-10-08	未及时披露公司重大事项	张斐光	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	房地产
600503.SH	2004-10-08	未及时披露公司重大事项	王栋	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	房地产
600503.SH	2004-10-08	未及时披露公司重大事项	戴行金	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	房地产
600503.SH	2004-10-08	未及时披露公司重大事项	刘戬	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	房地产
600503.SH	2004-10-08	未及时披露公司重大事项	林起泰	公司高管	公开处罚	中国证券监督管理委员会	10	《中华人民共和国证券法》	否	房地产业	房地产
600503.SH	2004-10-08	未及时披露公司重大事项	陈微	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	房地产
600634.SH	2004-09-30	未及时披露公司重大事项,信息披露虚假或严重误导性陈述			公开谴责	上海证券交易所	0	《上海证券交易所股票上市规则》,《董事(监事)声明与承诺》	否	制造业	其他建材
600634.SH	2004-09-30	涉嫌违反证券法律法规	上海澄海企业发展股份有限公司	公司本身	立案调查	中国证券监督管理委员会			否	制造业	其他建材
000670.SZ	2004-09-20	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	程浩	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	半导体材料
000670.SZ	2004-09-20	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	肖思泽	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	半导体材料
000672.SZ	2004-09-20	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	任民	公司高管	公开处罚	中国证券监督管理委员会	50	《中华人民共和国证券法》	否	制造业	水泥
000672.SZ	2004-09-20	信息披露虚假或严重误导性陈述,未及时披露公司重大事项	严立虎	公司高管	公开处罚	中国证券监督管理委员会	50	《中华人民共和国证券法》	否	制造业	水泥
000670.SZ	2004-09-20	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	龚家龙	公司高管	公开处罚	中国证券监督管理委员会	20	《中华人民共和国证券法》	否	制造业	半导体材料
000670.SZ	2004-09-20	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	刘一建	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	半导体材料
000670.SZ	2004-09-20	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	陈蜀葵	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	半导体材料
000670.SZ	2004-09-20	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	李忠	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	半导体材料
000670.SZ	2004-09-20	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	田文杰	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	半导体材料
000670.SZ	2004-09-20	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	龚泽芳	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	半导体材料
000670.SZ	2004-09-20	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	邱茂波	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	半导体材料
