代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
v0	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11
sid	date	d	d	d	d	d	c	d	d	d	d
000605.SZ	20090505	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	袁世明	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	水务
000605.SZ	20090505	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	苑学梅	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	水务
000605.SZ	20090505	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	张德鸿	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	水务
000605.SZ	20090505	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	姚丽萍	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	水务
600109.SS	20090514	涉嫌违反证券法律法规	国金证券股份有限公司	公司本身	立案调查				是	金融业	证券
600678.SS	20090515	涉嫌违反证券法律法规	四川金顶（集团）股份有限公司	公司本身	立案调查	中国证券监督管理委员会成都稽查局			否	制造业	其他建材
600579.SS	20090522	未依法履行其他职责	赵建广	公司高管	公开处罚	中国证券监督管理委员会	10	《中华人民共和国证券法》	否	制造业	其他专用机械
000605.SZ	20090523	信息披露虚假或严重误导性陈述			公开处罚	中国证券监督管理委员会	40	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	水务
002072.SZ	20090603	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	姚兴友	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	棉纺
002072.SZ	20090603	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	袁绍恕	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	棉纺
002072.SZ	20090603	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	于涛	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	棉纺
002072.SZ	20090603	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	孙德荣	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	棉纺
600678.SS	20090603	涉嫌违反证券法律法规	四川金顶（集团）股份有限公司	公司本身	立案调查	乐山市公安局			否	制造业	其他建材
002072.SZ	20090603	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	周庆春	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	否	制造业	棉纺
