代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
v0	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11
sid	date	d	d	d	d	d	c	d	d	d	d
600728.SS	20080708	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	邓龙龙	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》,《中华人民共和国公司法》	否	信息传输、软件和信息技术服务业	增值服务
002072.SZ	20080709	未依法履行其他职责			公开谴责	深圳证券交易所	0	《深圳证券交易所股票上市规则》,《中小企业板上市公司控股股东》,《实际控制人行为指引》	否	制造业	棉纺
002075.SZ	20080712	涉嫌违反证券法律法规	江苏沙钢股份有限公司	公司本身	立案调查				否	制造业	普钢
600180.SS	20080714	信息披露虚假或严重误导性陈述	姜海林	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	是	批发和零售业	物流
600180.SS	20080714	信息披露虚假或严重误导性陈述	张本明	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	是	批发和零售业	物流
600180.SS	20080714	信息披露虚假或严重误导性陈述	李廷芳	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	是	批发和零售业	物流
600180.SS	20080714	信息披露虚假或严重误导性陈述	宫云科	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	是	批发和零售业	物流
600180.SS	20080714	信息披露虚假或严重误导性陈述	王龙	公司高管	公开处罚	中国证券监督管理委员会	10	《中华人民共和国证券法》	是	批发和零售业	物流
600180.SS	20080714	信息披露虚假或严重误导性陈述	蒋绍庆	公司高管	公开处罚	中国证券监督管理委员会	30	《中华人民共和国证券法》,《中华人民共和国公司法》	是	批发和零售业	物流
600180.SS	20080714	信息披露虚假或严重误导性陈述	许爱民	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	是	批发和零售业	物流
600180.SS	20080714	信息披露虚假或严重误导性陈述	袁睁	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	是	批发和零售业	物流
600180.SS	20080805	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	山东九发食用菌股份有限公司	公司本身	公开处罚	中国证券监督管理委员会	50	《中华人民共和国证券法》,《中华人民共和国证券市场禁入规定》	是	批发和零售业	物流
002075.SZ	20080826	未及时披露公司重大事项,信息披露虚假或严重误导性陈述			公开谴责	深圳证券交易所	0	《深圳证券交易所股票上市规则》	否	制造业	普钢
600687.SS	20080904	未依法履行其他职责			公开处罚	中华人民共和国财政部	10	《中华人民共和国公司法》	是	制造业	黄金
000011.SZ	20080911	涉嫌违反证券法律法规	深圳市物业发展(集团)股份有限公司	公司本身	立案调查	中国证监会深圳稽查局			否	房地产业	房地产
000063.SZ	20081007	未依法履行其他职责			公开处罚	财政部驻深圳市财政监察专员办事处	16	《中华人民共和国会计法》,《财政部门实施会计监督办法》	是	制造业	通信传输设备
000592.SZ	20081014	未及时披露公司重大事项	王小宁	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	是	农、林、牧、渔业	林业种植
000592.SZ	20081014	未及时披露公司重大事项	何尔涛	公司高管	公开处罚	中国证券监督管理委员会	10	《中华人民共和国证券法》	是	农、林、牧、渔业	林业种植
000592.SZ	20081014	未及时披露公司重大事项	陈恭健	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	是	农、林、牧、渔业	林业种植
000592.SZ	20081014	未及时披露公司重大事项	丁金标	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	是	农、林、牧、渔业	林业种植
600556.SS	20081101	未依法履行其他职责,未及时披露公司重大事项			公开谴责	上海证券交易所	0	《上海证券交易所股票上市规则》	否	制造业	综合
000620.SZ	20081121	未按时披露定期报告			公开谴责	深圳证券交易所	0	《深圳证券交易所股票上市规则》	是	房地产业	房地产
600257.SS	20081203	涉嫌违反证券法律法规	大湖水殖股份有限公司	公司本身	立案调查	湖南监管局		《证券法》	否	农、林、牧、渔业	淡水渔业
600385.SS	20081203	涉嫌违反证券法律法规	山东金泰集团股份有限公司	公司本身	立案调查				否	制造业	黄金
000981.SZ	20081211	未及时披露公司重大事项,未依法履行其他职责	周耀良	公司高管	公开处罚	中国证券监督管理委员会	30	《中华人民共和国证券法》	是	房地产业	房地产
000981.SZ	20081211	未及时披露公司重大事项,未依法履行其他职责	朱晖	公司高管	公开处罚	中国证券监督管理委员会	30	《中华人民共和国证券法》	是	房地产业	房地产
000981.SZ	20081211	未及时披露公司重大事项,未依法履行其他职责	田民	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	是	房地产业	房地产
000981.SZ	20081211	未及时披露公司重大事项,未依法履行其他职责	曹凤国	公司高管	公开处罚	中国证券监督管理委员会	10	《中华人民共和国证券法》	是	房地产业	房地产
000981.SZ	20081211	未及时披露公司重大事项,未依法履行其他职责	路有志	公司高管	公开处罚	中国证券监督管理委员会	30	《中华人民共和国证券法》	是	房地产业	房地产
