,Open,High,low,Close,AvgPrice,Turn,Volume,Amount,Tnum
20150901,13.1496,13.6871,12.7272,13.6583,13.3206,2.0072,195073023.0,2707269056.0,54195.0
20150902,13.2167,13.7542,12.9288,13.6487,13.4606,2.3612,229469623.0,3218100528.0,54130.0
20150907,13.4279,13.9174,12.9576,13.0536,13.3756,1.4412,140058109.0,1951782720.0,55962.0
20150908,12.996,13.1304,12.7656,13.1304,12.9585,0.6707,65181113.0,880009920.0,32166.0
20150909,13.1592,13.4759,13.044,13.2071,13.2286,0.8588,83457692.0,1150245264.0,36004.0
20150910,13.0824,13.2359,12.9672,12.996,13.0879,0.4299,41776819.0,569659424.0,21965.0
20150911,13.044,13.1208,12.8616,12.9288,12.9955,0.3225,31345274.0,424400224.0,16722.0
20150914,12.9288,12.996,12.6408,12.66,12.756,0.5846,56811697.0,755029632.0,25542.0
20150915,12.66,12.756,12.3817,12.4969,12.5601,0.4905,47673875.0,623857248.0,24188.0
20150916,12.5641,13.1016,12.3913,12.8904,12.7252,0.7284,70785553.0,938469056.0,37515.0
20150917,12.8136,12.852,12.5737,12.5737,12.7271,0.6303,61252961.0,812205520.0,37836.0
20150918,12.5929,12.66,12.5161,12.5929,12.591,0.3546,34457148.0,452012032.0,17034.0
20150921,12.5353,12.6696,12.5353,12.6504,12.6217,0.4854,47172075.0,620313024.0,18414.0
20150922,12.6984,12.8136,12.6504,12.7272,12.7212,0.4643,45124048.0,598058336.0,22709.0
20150923,12.6217,12.7272,12.5737,12.6217,12.6467,0.3299,32059731.0,422422528.0,14528.0
20150924,12.6696,12.6792,12.5257,12.5641,12.5774,0.4564,44359699.0,581284160.0,19150.0
20150925,12.4969,12.5641,12.3337,12.3817,12.4522,0.4551,44228017.0,573792768.0,20080.0
20150928,12.3625,12.4681,12.2665,12.3337,12.335,0.4246,41265686.0,530321088.0,14963.0
20150929,12.2377,12.2761,12.017,12.0938,12.1549,0.6152,59787853.0,757134592.0,23153.0
20150930,12.1609,12.2953,12.065,12.2185,12.1542,0.5037,48951862.0,619877200.0,20344.0
20151008,12.7176,12.7848,12.5065,12.5449,12.6233,0.8446,82086235.0,1079570352.0,30582.0
20151009,12.6025,12.7464,12.5449,12.6984,12.6443,0.6528,63450500.0,835874048.0,24219.0
20151012,12.6984,13.092,12.6792,12.9384,12.8981,0.8068,78417153.0,1053773056.0,31480.0
20151013,12.8712,13.0152,12.8136,12.9288,12.9292,0.5853,56889346.0,766321056.0,20312.0
20151014,12.7848,12.9288,12.7176,12.7464,12.8019,0.5606,54490467.0,726780384.0,15289.0
20151015,12.7656,13.0152,12.7464,12.9768,12.8917,0.4507,43805390.0,588366352.0,22334.0
20151016,12.9864,13.1975,12.9768,13.1016,13.0788,0.5211,50645291.0,690108144.0,22715.0
20151019,13.1496,13.1496,12.8616,12.9864,12.962,0.5911,57448792.0,775820736.0,21380.0
20151020,12.8904,13.1016,12.8808,13.0056,12.968,0.419,40724637.0,550221152.0,14523.0
20151021,13.0056,13.0632,12.6696,12.6984,12.9127,0.5741,55800509.0,750692816.0,19041.0
20151022,12.6984,12.8616,12.6408,12.8136,12.7854,0.4654,45233418.0,602537136.0,15390.0
20151023,12.8232,13.2455,12.7752,13.1879,13.067,0.6952,67564569.0,919824048.0,28491.0
20151026,13.3223,13.4087,13.0344,13.1208,13.202,0.8029,78036045.0,1073356672.0,28150.0
20151027,13.0056,13.1687,12.7848,13.14,13.0371,0.3546,34463302.0,468109408.0,17221.0
20151028,13.1304,13.2743,13.1112,13.1112,13.179,0.3541,34416490.0,472561648.0,17683.0
20151029,13.1112,13.1783,12.996,13.0728,13.086,0.287,27891776.0,380269920.0,11679.0
20151030,13.1496,13.1975,13.0536,13.1208,13.1056,0.3069,29831792.0,407329920.0,11775.0
20151102,13.0632,13.1208,12.996,13.0152,13.0469,0.3385,32898935.0,447194384.0,12186.0
20151103,13.0152,13.1496,12.996,13.1112,13.0983,0.3062,29760421.0,406129040.0,16228.0
20151104,13.1016,13.5335,13.0632,13.5143,13.3798,0.7909,76865444.0,1071494160.0,33211.0
20151105,13.4855,13.9942,13.3895,13.5527,13.6913,0.9498,92318052.0,1316863760.0,37716.0
20151106,13.5431,13.735,13.4951,13.6391,13.5976,0.5162,50176457.0,710839376.0,20972.0
20151109,13.6391,14.071,13.6103,13.8214,13.8946,0.8544,83050501.0,1202251920.0,31759.0
20151110,13.7542,13.7926,13.6295,13.6967,13.7044,0.5397,52460045.0,749031904.0,20479.0
20151111,13.6391,13.7446,13.5335,13.6007,13.6457,0.5953,57861255.0,822609312.0,19841.0
20151112,13.6679,13.6775,13.4471,13.5239,13.5584,0.5503,53485066.0,755530672.0,19942.0
20151113,13.4375,13.4855,13.2743,13.3415,13.3766,0.3947,38362808.0,534644208.0,15236.0
20151116,13.2551,13.4375,13.1592,13.4375,13.3269,0.3299,32070708.0,445294096.0,15204.0
20151117,13.4663,13.7254,13.3415,13.4375,13.5312,0.6701,65129951.0,918176272.0,28442.0
20151118,13.5047,14.6565,13.4471,14.0806,14.1016,1.8039,175344374.0,2576146304.0,72897.0
20151119,14.0134,14.0134,13.6103,13.9174,13.7796,0.9116,88604441.0,1272044240.0,36106.0
20151120,13.8694,14.1286,13.7926,13.9078,13.9424,0.7536,73248295.0,1064007008.0,27759.0
20151123,13.9174,14.0518,13.7446,13.7926,13.9021,0.6474,62928810.0,911464912.0,20954.0
20151124,13.7926,13.9654,13.5719,13.9174,13.753,0.7672,74568658.0,1068471984.0,20325.0
20151125,13.8406,14.1286,13.8118,13.975,13.9898,0.5986,58181863.0,848024656.0,22929.0
20151126,13.9654,14.0326,13.8886,13.9174,13.9566,0.3948,38374822.0,558000816.0,13364.0
20151127,13.8502,14.0614,13.6679,13.6871,13.9021,0.9137,88815558.0,1286416592.0,24286.0
20151130,13.7158,14.6373,13.7063,14.4645,14.3968,2.0782,202000999.0,3029921808.0,67425.0
20151201,14.3877,15.9138,14.3301,15.9138,15.4657,3.8581,375016368.0,6042685184.0,86216.0
20151202,16.0098,17.5071,15.8754,17.5071,17.0304,6.5738,638988608.0,11337757184.0,121344.0
20151203,17.7087,18.5533,17.3536,18.3806,17.9335,4.9086,477123632.0,8914671616.0,139025.0
20151204,18.1406,19.0429,17.8527,18.2174,18.405,3.8765,376800944.0,7225321984.0,124069.0
20151207,18.0638,18.2174,16.96,17.296,17.4466,2.3206,225571938.0,4100197216.0,105060.0
20151208,17.1808,17.344,16.7009,17.056,16.9519,1.5739,152988606.0,2702009056.0,68240.0
20151209,17.2288,18.7645,17.0944,18.7645,17.9561,3.702,359851968.0,6732052736.0,121167.0
20151210,18.8029,20.5018,18.2558,18.7549,19.2549,3.1555,306737472.0,6153428224.0,188333.0
20151211,18.371,19.5228,18.0254,19.1004,18.8583,2.0935,203500842.0,3998320224.0,117573.0
20151214,18.8125,19.6571,18.2462,19.2732,18.943,1.4322,139219406.0,2747638832.0,90892.0
20151215,18.8125,20.5978,18.8125,20.233,20.0005,1.7219,167387632.0,3487966832.0,117785.0
20151216,19.8011,20.1467,19.206,19.3788,19.5197,1.2194,118536396.0,2410648704.0,108161.0
20151217,19.5612,21.3176,19.5324,21.3176,20.8672,2.6575,258339265.0,5616476672.0,143532.0
20151218,21.5,23.4484,20.7897,23.4484,22.673,2.3032,223898402.0,5288950784.0,112873.0
20151221,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20151222,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20151223,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20151224,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20151225,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20151228,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20151229,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20151230,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20151231,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160104,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160105,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160106,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160107,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160108,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160111,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160112,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160113,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160114,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160115,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160118,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160119,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160120,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160121,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160122,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160125,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160126,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160127,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160128,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160129,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160201,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160202,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160203,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160204,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160205,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160215,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160216,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160217,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160218,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160219,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160222,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160223,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160224,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160225,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160226,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160229,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160301,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160302,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160303,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160304,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160307,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160308,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160309,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160310,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160311,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
20160314,23.4484,23.4484,23.4484,23.4484,,0.0,0.0,0.0,0.0
