,open,high,low,close,average,turn,volume,amount,tnum
2009-11-5,17.5274,17.9609,17.4991,17.9514,18.84,1.987,2293862.0,43208439.0,2449.0
2009-11-6,18.1776,18.1776,17.7159,17.8572,18.93,1.759,2030561.0,38439099.0,2329.0
2009-11-9,17.8384,17.9891,17.4237,17.697,18.78,2.223,2566494.0,48191698.0,2799.0
2009-11-10,17.8195,18.187,17.6311,17.9514,19.01,2.042,2357827.0,44812697.0,2691.0
2009-11-11,17.9986,18.0834,17.7159,17.7724,18.99,1.892,2184212.0,41483618.0,2063.0
2009-11-12,17.7347,17.9986,17.4897,17.6122,18.85,2.137,2467585.0,46520885.0,2508.0
2009-11-13,17.6122,17.7159,17.2353,17.5557,18.47,2.371,2737228.0,50561347.0,2925.0
2009-11-16,17.5557,17.5557,17.5557,17.5557,0.0,0.0,0.0,0.0,0.0
2009-11-17,17.9138,18.4132,17.9138,18.0551,19.25,8.129,9385038.0,180708653.0,8500.0
2009-11-18,18.0739,18.1399,17.697,18.0834,18.99,4.164,4806992.0,91275726.0,5387.0
2009-11-19,18.0928,19.3178,18.0928,18.988,19.99,8.056,9300977.0,185959830.0,9135.0
2009-11-20,18.9974,19.7607,18.6582,19.4498,20.55,7.354,8490203.0,174438020.0,7912.0
2009-11-23,19.4498,19.9775,19.2236,19.5911,20.71,4.859,5609421.0,116183957.0,5736.0
2009-11-24,19.789,19.8267,18.3284,18.498,20.29,5.062,5843889.0,118600166.0,6080.0
2009-11-25,18.4697,19.5251,18.3849,19.5157,20.18,4.672,5393861.0,108866783.0,5167.0
2009-11-26,19.6005,19.7796,17.9138,18.2624,20.1,3.926,4532476.0,91113762.0,5382.0
2009-11-27,17.9138,18.3755,17.5745,17.6122,19.08,2.449,2827521.0,53954057.0,3107.0
2009-11-30,17.8478,18.3755,17.7159,18.3095,19.2,2.223,2566777.0,49271853.0,2568.0
2009-12-1,18.319,18.9409,18.2153,18.8844,19.75,3.418,3946309.0,77943985.0,3323.0
2009-12-2,19.0351,19.0351,18.5828,18.8655,19.94,3.213,3709545.0,73973652.0,3607.0
2009-12-3,18.9409,19.9209,18.9409,19.7796,20.62,7.906,9127795.0,188232636.0,8347.0
2009-12-4,19.789,19.7984,18.6393,19.0917,20.44,5.268,6081581.0,124325577.0,6138.0
2009-12-7,19.0917,19.5063,18.7524,19.2142,20.35,2.627,3032643.0,61699254.0,3005.0
2009-12-8,19.2519,19.3932,18.809,18.8467,20.1,2.297,2651993.0,53308447.0,2770.0
2009-12-9,18.5263,19.1011,18.3755,18.4886,19.86,2.142,2472913.0,49099763.0,2729.0
2009-12-10,18.6582,18.7807,18.2624,18.498,19.59,1.699,1960951.0,38408599.0,2250.0
2009-12-11,18.564,19.0163,18.4132,18.7336,19.94,2.555,2949567.0,58804151.0,2710.0
2009-12-14,18.7524,18.7901,18.1965,18.6111,19.64,1.436,1658211.0,32561976.0,1800.0
2009-12-15,18.6017,18.8749,18.4886,18.7807,19.85,1.407,1624218.0,32238090.0,1778.0
2009-12-16,18.743,19.0163,18.5263,18.7147,20.0,1.655,1910983.0,38217341.0,2081.0
2009-12-17,18.7053,18.8372,17.6216,17.6687,19.3,3.008,3473230.0,67035480.0,3019.0
2009-12-18,17.5839,17.6216,17.0374,17.2164,18.46,1.56,1801067.0,33240407.0,1887.0
2009-12-21,17.1787,17.6405,16.962,17.4049,18.43,0.687,793445.0,14626835.0,1044.0
2009-12-22,17.5462,17.5462,16.6604,16.9055,18.03,1.217,1405311.0,25340600.0,1434.0
2009-12-23,16.8489,17.3672,16.7924,17.2353,18.19,1.048,1209700.0,22009748.0,1182.0
2009-12-24,17.2447,17.7159,17.1693,17.7064,18.56,1.338,1544352.0,28662337.0,1701.0
2009-12-25,17.7159,17.8007,17.4426,17.5839,18.67,1.047,1208789.0,22564481.0,1285.0
2009-12-28,17.6876,18.0645,17.6499,18.0645,19.02,1.29,1489251.0,28318968.0,1474.0
2009-12-29,18.0551,18.2059,17.9232,18.187,19.19,1.046,1207340.0,23171262.0,1225.0
2009-12-30,18.1588,18.187,17.763,17.8007,19.01,1.368,1579337.0,30022434.0,1225.0
2009-12-31,17.9043,17.942,17.7064,17.8007,18.91,0.819,945605.0,17876732.0,1165.0
2010-1-4,17.9609,18.7336,17.9609,18.3849,19.59,2.455,2834769.0,55538970.0,3204.0
2010-1-5,18.4886,18.564,17.9138,18.2907,19.22,2.29,2643953.0,50812801.0,2310.0
2010-1-6,18.2341,18.3001,18.0174,18.0645,19.27,1.081,1248587.0,24056586.0,1633.0
2010-1-7,18.0551,18.1776,17.3012,17.3578,18.75,1.59,1835712.0,34421061.0,2605.0
2010-1-8,17.3389,17.8572,17.1505,17.6216,18.55,0.851,982338.0,18225606.0,1198.0
2010-1-11,17.6216,17.6782,17.3578,17.4709,18.59,0.85,981143.0,18236564.0,1150.0
2010-1-12,17.4709,17.9326,17.3672,17.9326,18.84,1.448,1671749.0,31502676.0,1674.0
2010-1-13,17.6216,18.1682,17.5557,17.8007,19.01,1.311,1513465.0,28764290.0,1897.0
2010-1-14,17.8572,18.5451,17.8101,18.498,19.38,1.978,2284123.0,44271660.0,2618.0
2010-1-15,18.4132,18.5828,18.2436,18.432,19.48,1.492,1722815.0,33559432.0,1890.0
2010-1-18,18.319,18.6488,18.2341,18.5922,19.67,1.984,2290403.0,45049879.0,2199.0
2010-1-19,18.677,18.9503,18.4697,18.6582,19.86,2.334,2695076.0,53524345.0,2957.0
2010-1-20,18.7053,18.7807,17.5085,17.697,19.23,3.146,3632536.0,69844621.0,3835.0
2010-1-21,17.7159,17.8761,17.5274,17.8101,18.84,1.133,1308187.0,24647293.0,1466.0
