,open,high,low,close,average,turn,volume,amount,tnum
2009-1-5,3.5803,3.6867,3.5609,3.677,3.74,1.03,3320253.0,12427934.0,2090.0
2009-1-6,3.6674,3.7835,3.6093,3.7738,3.84,2.165,6980192.0,26792715.0,3541.0
2009-1-7,3.7738,3.9577,3.7254,3.8706,3.96,2.718,8760634.0,34715401.0,4773.0
2009-1-8,3.8319,3.9383,3.7254,3.7835,3.97,2.123,6842283.0,27182662.0,3861.0
2009-1-9,3.7835,3.8899,3.7351,3.8415,3.94,1.415,4562677.0,17964118.0,2865.0
2009-1-12,3.8222,4.1415,3.7738,4.0157,4.16,4.112,13253316.0,55126890.0,7855.0
2009-1-13,3.948,4.1028,3.8996,3.9286,4.12,2.467,7953093.0,32795665.0,4441.0
2009-1-14,3.8899,4.1028,3.8899,4.0738,4.16,2.182,7033892.0,29236328.0,3815.0
2009-1-15,4.0254,4.1318,3.9964,4.0641,4.21,2.483,8004281.0,33729195.0,4123.0
2009-1-16,4.0641,4.1899,4.0641,4.0834,4.27,3.587,11562585.0,49400047.0,5015.0
2009-1-19,4.0931,4.1899,4.0351,4.0447,4.24,2.123,6844782.0,29009537.0,2999.0
2009-1-20,4.0351,4.0738,3.9964,4.0641,4.17,1.116,3595879.0,15003398.0,1979.0
2009-1-21,4.0351,4.1028,3.9964,4.0157,4.18,1.383,4456727.0,18614472.0,2285.0
2009-1-22,4.0157,4.1125,3.9964,4.0834,4.19,1.351,4355269.0,18244783.0,2319.0
2009-1-23,4.0641,4.0641,3.9673,4.006,4.14,1.396,4500522.0,18648743.0,2335.0
2009-2-2,4.0447,4.2189,3.977,4.1802,4.26,2.718,8762085.0,37284628.0,4572.0
2009-2-3,4.1415,4.2576,4.1415,4.2092,4.35,3.265,10525361.0,45786872.0,5060.0
2009-2-4,4.2383,4.4221,4.2189,4.3544,4.45,4.844,15615466.0,69488440.0,7430.0
2009-2-5,4.3157,4.3931,4.2383,4.2576,4.45,3.309,10667272.0,47463224.0,5781.0
2009-2-6,4.2963,4.4705,4.277,4.4318,4.53,4.097,13205040.0,59796368.0,6338.0
2009-2-9,4.4705,4.6253,4.3447,4.5673,4.64,4.6,14826845.0,68773323.0,7247.0
2009-2-10,4.5286,4.7898,4.4802,4.7414,4.8,5.051,16281866.0,78165425.0,7348.0
2009-2-11,4.635,4.8769,4.5963,4.8092,4.91,5.962,19217223.0,94303021.0,7950.0
2009-2-12,4.8672,4.9834,4.6447,4.8963,4.97,6.972,22472192.0,111781361.0,12131.0
2009-2-13,4.8382,5.0898,4.7511,5.0124,5.11,6.205,20000099.0,102198791.0,10524.0
2009-2-16,5.0221,5.0317,4.8672,5.0124,5.13,4.6,14826710.0,76024478.0,8415.0
2009-2-17,4.9446,5.0027,4.7318,4.7414,5.03,3.667,11819905.0,59415487.0,7030.0
2009-2-18,4.6931,4.8963,4.5479,4.6253,4.88,3.478,11210213.0,54743491.0,6246.0
2009-2-19,4.6834,4.7124,4.5382,4.635,4.77,2.673,8617202.0,41094767.0,4242.0
2009-2-20,4.6447,4.8189,4.5963,4.8092,4.86,2.893,9325813.0,45359003.0,4749.0
2009-2-23,4.7898,4.9156,4.7221,4.8963,5.0,3.065,9879972.0,49440893.0,5456.0
2009-2-24,4.8479,5.0317,4.6931,4.7124,5.05,4.338,13983705.0,70668561.0,7401.0
2009-2-25,4.7995,5.0027,4.6544,4.9446,5.01,4.659,15016824.0,75272489.0,7949.0
2009-2-26,4.8576,4.9737,4.4512,4.4512,4.86,3.727,12014969.0,58372116.0,7040.0
2009-2-27,4.4028,4.4512,4.0447,4.1415,4.32,2.782,8967947.0,38734223.0,4957.0
2009-3-2,4.0738,4.3254,4.0447,4.2576,4.35,3.191,10285154.0,44790341.0,3965.0
2009-3-3,4.1609,4.5673,4.1028,4.4415,4.51,3.212,10352395.0,46706190.0,5045.0
2009-3-4,4.4124,4.7221,4.4124,4.6447,4.72,4.854,15645668.0,73816972.0,7221.0
2009-3-5,4.7608,4.9834,4.7221,4.8769,5.0,10.055,32411733.0,162190062.0,16664.0
2009-3-6,4.7414,4.964,4.6931,4.9156,5.0,5.612,18090458.0,90406978.0,9661.0
2009-3-9,4.993,5.0317,4.7898,4.7995,5.1,7.142,23021345.0,117475879.0,14247.0
2009-3-10,4.7027,4.9543,4.606,4.935,5.0,5.366,17296407.0,86435608.0,9255.0
2009-3-11,5.0317,5.0704,4.7414,4.7801,5.04,4.39,14150168.0,71264142.0,10031.0
2009-3-12,4.7414,4.7801,4.4608,4.664,4.78,3.074,9909047.0,47380067.0,7125.0
2009-3-13,4.664,4.7027,4.5092,4.5382,4.76,1.897,6114197.0,29108799.0,4475.0
2009-3-16,4.5479,4.664,4.4705,4.6447,4.73,1.603,5165673.0,24446762.0,3537.0
2009-3-17,4.6447,4.9446,4.6156,4.8769,4.96,4.0,12895023.0,64022262.0,7568.0
2009-3-18,4.8769,5.0027,4.8382,4.8672,5.09,4.289,13824828.0,70356453.0,7621.0
2009-3-19,4.8963,5.3511,4.8672,5.2349,5.35,9.676,31188613.0,166749742.0,19142.0
2009-3-20,5.1672,5.1962,4.9834,5.0608,5.26,6.052,19508224.0,102650320.0,11011.0
2009-3-23,5.0608,5.2156,5.0511,5.1479,5.3,4.824,15549503.0,82336031.0,8537.0
2009-3-24,5.1672,5.3511,5.0704,5.264,5.4,6.376,20551477.0,111061642.0,11376.0
2009-3-25,5.2446,5.293,4.9834,5.0027,5.35,3.778,15146814.0,81033939.0,8271.0
2009-3-26,5.1188,5.2446,5.0221,5.1575,5.32,3.736,14977346.0,79662071.0,8069.0
2009-3-27,5.1866,5.2253,5.0995,5.1866,5.34,2.842,11394984.0,60872782.0,6847.0
2009-3-30,5.2059,5.2253,5.0898,5.1285,5.32,2.105,8439014.0,44859743.0,5495.0
2009-3-31,5.0317,5.2543,4.9253,5.2156,5.24,3.263,13080040.0,68578032.0,8352.0
2009-4-1,5.2059,5.3704,5.1769,5.3027,5.45,3.993,16009000.0,87214027.0,9628.0
2009-4-2,5.3027,5.3124,5.1285,5.1575,5.39,3.059,12262516.0,66079709.0,7569.0
2009-4-3,5.2156,5.2543,5.0317,5.0511,5.28,2.291,9186008.0,48484020.0,5994.0
2009-4-7,5.0801,5.1188,5.0221,5.1188,5.24,1.233,4941410.0,25906221.0,3204.0
2009-4-8,5.0898,5.1479,4.9156,4.9253,5.21,2.06,8259265.0,42997361.0,5071.0
2009-4-9,4.8672,4.9737,4.8285,4.9446,5.08,1.703,6828705.0,34666662.0,4293.0
2009-4-10,4.9834,5.0801,4.935,5.0511,5.19,1.957,7846596.0,40694112.0,4542.0
2009-4-13,5.0801,5.1866,5.0511,5.1382,5.28,2.979,11944073.0,63101328.0,6200.0
2009-4-14,5.1188,5.2736,5.0608,5.2253,5.35,3.681,14757961.0,79020043.0,7874.0
2009-4-15,5.1962,5.2736,5.0995,5.2156,5.37,2.855,11445736.0,61436947.0,6467.0
2009-4-16,5.2349,5.3607,5.1285,5.293,5.45,5.009,20082171.0,109434138.0,10407.0
2009-4-17,5.293,5.4962,5.2059,5.322,5.53,5.293,21217853.0,117264167.0,11760.0
2009-4-20,5.3124,5.5833,5.2736,5.4575,5.64,4.284,17173805.0,96870327.0,9345.0
2009-4-21,5.3898,5.7381,5.3511,5.622,5.76,5.856,23474453.0,135319551.0,13017.0
2009-4-22,5.622,5.6704,5.1285,5.1769,5.63,5.002,20053896.0,112831416.0,11996.0
2009-4-23,5.1769,5.3124,5.1285,5.2736,5.4,2.487,9971345.0,53887851.0,6452.0
2009-4-24,5.3124,5.3994,5.2349,5.2736,5.5,2.547,10211890.0,56137024.0,6012.0
2009-4-27,5.264,5.3027,4.9737,5.0027,5.25,2.388,9571553.0,50270586.0,5566.0
2009-4-28,4.9543,5.0995,4.9543,5.0898,5.2,1.635,6553429.0,34047798.0,3830.0
2009-4-29,5.0995,5.4091,5.0801,5.3511,5.46,3.265,13090248.0,71518330.0,7810.0
2009-4-30,5.4091,5.7381,5.3511,5.5446,5.74,5.675,22750890.0,130499215.0,13831.0
2009-5-4,5.5446,5.7962,5.5059,5.6994,5.85,5.392,21615568.0,126376276.0,13032.0
2009-5-5,5.7091,5.7478,5.593,5.6801,5.86,4.016,16097424.0,94337429.0,9426.0
2009-5-6,5.6413,5.9316,5.6123,5.7768,6.02,5.18,20766124.0,125036303.0,13171.0
2009-5-7,5.8058,5.8446,5.5156,5.6607,5.85,4.171,16721474.0,97832009.0,10587.0
2009-5-8,5.6123,5.7381,5.4962,5.651,5.81,2.992,11995745.0,69644918.0,7817.0
2009-5-11,5.7091,5.7091,5.3994,5.4091,5.74,2.591,10386477.0,59630228.0,7078.0
2009-5-12,5.3994,5.622,5.3704,5.6123,5.69,2.152,8626646.0,49054802.0,5323.0
2009-5-13,5.622,5.6801,5.5639,5.6123,5.82,2.025,8117450.0,47212213.0,5415.0
2009-5-14,5.5736,5.7671,5.5252,5.7381,5.88,3.268,13099121.0,76997907.0,8614.0
2009-5-15,5.7478,5.7575,5.5639,5.6801,5.86,2.284,9157287.0,53626001.0,5968.0
2009-5-18,5.6607,5.8736,5.5252,5.8446,5.9,3.09,12388567.0,73125790.0,8189.0
2009-5-19,5.8929,5.9026,5.7478,5.7865,6.02,3.137,12576930.0,75740306.0,7941.0
2009-5-20,5.7768,5.8446,5.6994,5.7091,5.93,2.352,9430064.0,55941101.0,5846.0
2009-5-21,5.6704,5.9897,5.6607,5.9026,6.03,6.42,25737912.0,155260721.0,15287.0
2009-5-22,5.8542,6.28,5.8155,6.0961,6.29,8.128,32582414.0,204929767.0,18262.0
2009-5-25,5.9026,6.0865,5.8252,6.0574,6.16,4.371,17523165.0,107875790.0,10314.0
2009-5-26,6.0768,6.3381,5.9607,5.98,6.34,4.47,17921343.0,113658885.0,11641.0
2009-5-27,6.0284,6.0381,5.8252,5.9607,6.12,2.894,11602294.0,70954145.0,0.0
2009-6-1,5.9994,6.0284,5.9026,5.98,6.17,2.56,10263119.0,63357442.0,6380.0
2009-6-2,5.9897,6.0768,5.9413,5.9994,6.2,2.223,8910313.0,55217963.0,5642.0
2009-6-3,6.0671,6.2606,5.9994,6.0961,6.31,4.72,18921496.0,119422343.0,12071.0
2009-6-4,6.0865,6.0865,5.8736,5.9703,6.16,3.261,13072944.0,80591814.0,9044.0
2009-6-5,5.9994,6.0187,5.8833,5.9316,6.13,2.175,8719568.0,53450368.0,6080.0
2009-6-8,5.922,5.9607,5.8542,5.9026,6.09,1.914,7674876.0,46762771.0,5081.0
2009-6-9,5.8639,6.1252,5.8639,6.1155,6.19,2.967,11895004.0,73651730.0,8531.0
2009-6-10,6.0961,6.1348,5.9994,6.1058,6.28,2.697,10811852.0,67924386.0,6494.0
2009-6-11,6.0961,6.2413,5.9703,5.98,6.32,3.306,13253300.0,83728962.0,8404.0
2009-6-12,6.0187,6.0187,5.7575,5.8252,6.07,2.822,11312880.0,68650156.0,7970.0
2009-6-15,5.8446,5.9607,5.8058,5.9316,6.07,1.249,5008123.0,30401754.0,3614.0
2009-6-16,5.9316,5.9316,5.9316,5.9316,0.0,0.0,0.0,0.0,0.0
2009-6-17,5.98,6.0671,5.922,6.0284,6.21,2.178,8733133.0,54192976.0,6303.0
2009-6-18,6.0381,6.1155,5.951,6.1058,6.22,2.764,11081125.0,68935342.0,6781.0
2009-6-19,6.1542,6.3477,6.1348,6.1445,6.44,5.434,21784687.0,140318596.0,15243.0
2009-6-22,6.1929,6.2219,6.0574,6.0671,6.34,2.303,9232617.0,58562390.0,6924.0
2009-6-23,6.0381,6.0768,5.951,6.0284,6.22,1.655,6636260.0,41306774.0,4657.0
2009-6-24,6.0284,6.0671,5.9897,6.0671,6.23,1.317,5278889.0,32901686.0,3793.0
2009-6-25,6.0961,6.1252,5.9703,6.0091,6.23,1.348,5404203.0,33693592.0,4117.0
2009-6-26,5.9994,6.0381,5.9316,5.9897,6.18,1.538,6165434.0,38115195.0,4356.0
2009-6-29,6.0381,6.0768,5.9703,6.0574,6.24,1.469,5890062.0,36726227.0,4325.0
2009-6-30,6.0671,6.0768,5.9607,5.9703,6.19,1.494,5989075.0,37073903.0,4138.0
2009-7-1,5.9607,6.1058,5.9607,6.0478,6.26,1.704,6832276.0,42798193.0,4954.0
2009-7-2,6.0671,6.2897,6.0284,6.1736,6.38,3.514,14088716.0,89866152.0,9891.0
2009-7-3,6.0961,6.2703,6.0478,6.2123,6.37,2.801,11229662.0,71563802.0,7505.0
2009-7-6,6.2123,6.3284,6.1155,6.1736,6.4,2.174,8713883.0,55725594.0,5928.0
2009-7-7,6.1736,6.4251,6.1542,6.2606,6.51,4.96,19882381.0,129488368.0,12150.0
2009-7-8,6.28,6.3574,6.1348,6.251,6.45,2.679,10738103.0,69250561.0,6637.0
2009-7-9,6.251,6.3477,6.1736,6.3187,6.47,2.931,11748033.0,76033657.0,6631.0
2009-7-10,6.3187,6.5413,6.2897,6.4251,6.63,4.034,16169811.0,107255206.0,9689.0
2009-7-13,6.4542,6.6477,6.3864,6.4735,6.74,4.036,16180873.0,109017887.0,9619.0
2009-7-14,6.5219,6.5413,6.4445,6.5316,6.71,2.747,11012049.0,73858297.0,6434.0
2009-7-15,6.5509,6.7058,6.5025,6.6187,6.81,3.718,14906371.0,101540430.0,9457.0
2009-7-16,6.6574,6.667,6.4638,6.4735,6.8,3.695,14813076.0,100678840.0,9317.0
2009-7-17,6.4832,6.7154,6.4638,6.5509,6.82,3.312,13276406.0,90546576.0,8889.0
2009-7-20,6.609,6.6961,6.5413,6.6477,6.85,3.058,12259785.0,83924496.0,7352.0
2009-7-21,6.667,6.667,6.3284,6.3671,6.68,3.927,15741545.0,105133730.0,10122.0
2009-7-22,6.3671,6.667,6.3381,6.6574,6.75,4.641,18603181.0,125543471.0,9237.0
2009-7-23,6.5703,6.9186,6.5509,6.8606,7.02,6.836,27404729.0,192468476.0,13504.0
2009-7-24,6.8799,7.0541,6.7251,6.8606,7.07,6.254,25070478.0,177228858.0,11775.0
2009-7-27,6.8606,7.2476,6.8509,7.0444,7.26,7.114,28518448.0,207185101.0,13165.0
2009-7-28,7.0735,7.2863,6.9283,7.0735,7.31,6.987,28009163.0,204714957.0,19756.0
2009-7-29,7.0638,7.238,6.3671,6.5122,7.02,5.197,20831916.0,146264427.0,16336.0
2009-7-30,6.5703,6.6767,6.3477,6.638,6.74,2.744,11002072.0,74153893.0,8407.0
2009-7-31,6.6767,6.7928,6.5606,6.7638,6.91,2.833,11358483.0,78433021.0,7603.0
2009-8-3,6.7832,6.8799,6.6767,6.8703,7.0,3.043,12200376.0,85361937.0,7936.0
2009-8-4,6.8703,6.8799,6.6283,6.7638,6.96,2.894,11603425.0,80761371.0,7909.0
2009-8-5,6.7541,6.938,6.7058,6.8799,7.07,3.645,14611476.0,103322590.0,9889.0
2009-8-6,6.8219,6.8315,6.6574,6.6961,6.96,2.778,11136122.0,77475548.0,7389.0
2009-8-7,6.6961,6.8025,6.4832,6.5219,6.91,2.571,10304950.0,71189712.0,7126.0
2009-8-10,6.5993,7.1605,6.5993,6.938,7.18,7.485,30004553.0,215286249.0,21552.0
2009-8-11,6.9186,7.0444,6.7348,6.9573,7.11,4.037,16185360.0,115124733.0,11943.0
2009-8-12,6.8896,7.1122,6.7735,6.7832,7.18,5.389,21602610.0,155059749.0,16829.0
2009-8-13,6.8122,6.909,6.5896,6.8025,7.04,3.327,13337221.0,93901231.0,9540.0
2009-8-14,6.7541,6.8122,6.3381,6.3381,6.73,3.281,13154815.0,88564781.0,10634.0
2009-8-17,6.2897,6.4348,5.9316,5.9316,6.4,2.295,9201045.0,58844212.0,7688.0
2009-8-18,5.9316,6.0768,5.8058,6.0381,6.18,1.616,6477936.0,40033485.0,5198.0
2009-8-19,6.0381,6.0478,5.4381,5.5736,5.97,1.949,7811774.0,46654710.0,6005.0
2009-8-20,5.593,5.7865,5.5446,5.7478,5.87,1.579,6330607.0,37155068.0,4711.0
2009-8-21,5.6994,5.9703,5.6897,5.9316,6.04,1.697,6803238.0,41066125.0,5206.0
2009-8-24,5.9607,6.0768,5.8252,6.0091,6.18,1.691,6779655.0,41910581.0,4945.0
2009-8-25,5.951,6.3187,5.922,6.28,6.28,3.58,14352416.0,90157959.0,10219.0
2009-8-26,6.1736,6.5219,6.1252,6.4735,6.55,3.711,14875461.0,97364619.0,10401.0
