,open,high,low,close,average,turn,volume,amount,tnum
2009-1-5,2.7926,2.906,2.7656,2.8844,5.27,2.757,2017045.0,10619909.08,1404.0
2009-1-6,2.879,3.0897,2.852,3.0843,5.54,5.551,4060879.0,22482368.54,2597.0
2009-1-7,3.0303,3.1059,3.0033,3.0249,5.64,3.973,2907042.0,16384330.42,2363.0
2009-1-8,2.9709,3.1653,2.9547,3.0465,5.69,5.284,3865992.0,22010051.34,2965.0
2009-1-9,3.0789,3.2247,3.0141,3.1707,5.76,4.358,3188243.0,18350072.15,2499.0
2009-1-12,3.1437,3.2895,3.0897,3.2247,5.88,4.304,3149222.0,18517743.88,2678.0
2009-1-13,3.1707,3.3382,2.9763,3.2193,5.88,7.209,5274592.0,30995923.17,3700.0
2009-1-14,3.2139,3.4246,3.2139,3.3706,6.19,8.19,5991705.0,37096296.56,3771.0
2009-1-15,3.3274,3.4462,3.2949,3.376,6.25,7.406,5418525.0,33850386.94,3060.0
2009-1-16,3.4462,3.5704,3.3544,3.3922,6.45,10.395,7605451.0,49025357.29,4549.0
2009-1-19,3.403,3.43,3.2355,3.2463,6.1,5.358,3919840.0,23894955.8,3367.0
2009-1-20,3.2193,3.3004,3.1977,3.2679,6.01,1.989,1455438.0,8748582.17,1390.0
2009-1-21,3.2193,3.2625,3.1113,3.1761,5.89,3.117,2280671.0,13437738.91,1877.0
2009-1-22,3.2139,3.2193,3.1329,3.2031,5.89,2.304,1685639.0,9933277.08,1414.0
2009-1-23,3.2139,3.2409,3.1437,3.1707,5.9,2.115,1547722.0,9129398.52,1399.0
2009-2-2,3.2193,3.3382,3.1761,3.3382,6.09,3.48,2546166.0,15510852.91,2329.0
2009-2-3,3.3598,3.4786,3.322,3.43,6.32,4.617,3377950.0,21363209.08,2957.0
2009-2-4,3.4678,3.5056,3.3598,3.5002,6.35,5.919,4330584.0,27494907.5,3385.0
2009-2-5,3.4894,3.6785,3.4138,3.5758,6.55,9.455,6917422.0,45328156.15,5057.0
2009-2-6,3.565,3.7109,3.5326,3.6731,6.73,8.14,5955504.0,40087992.69,4297.0
2009-2-9,3.7109,3.7757,3.5974,3.7271,6.81,8.523,6235711.0,42477890.25,4419.0
2009-2-10,3.6731,3.8135,3.5974,3.8027,6.85,8.609,6298561.0,43131399.67,4184.0
2009-2-11,3.7271,4.1322,3.6785,3.9161,7.22,11.466,8389071.0,60544384.73,5711.0
2009-2-12,3.9053,3.9053,3.6731,3.8297,7.03,7.694,5629198.0,39575225.46,4142.0
2009-2-13,3.8081,4.0944,3.7919,4.035,7.32,9.049,6620103.0,48488607.09,4727.0
2009-2-16,4.0998,4.4185,3.9593,4.3591,7.63,10.392,7602885.0,58015097.12,5381.0
2009-2-17,4.2618,4.3104,4.0026,4.0404,7.76,7.466,5462179.0,42360966.49,4194.0
2009-2-18,3.8783,4.0134,3.7325,3.9323,7.16,7.374,5394708.0,38600706.25,3867.0
2009-2-19,3.8891,3.9972,3.8675,3.9107,7.27,4.427,3238713.0,23556504.85,2458.0
2009-2-20,3.9107,3.9809,3.8243,3.9701,7.22,4.844,3544150.0,25590114.44,2533.0
2009-2-23,3.9701,4.2456,3.8945,4.17,7.63,6.337,4636150.0,35369747.39,3754.0
2009-2-24,4.1322,4.1484,3.7973,3.8405,7.37,6.816,4986792.0,36756768.24,4089.0
2009-2-25,3.8513,3.9485,3.7865,3.9323,7.16,4.36,3189788.0,22832005.99,2562.0
2009-2-26,3.9377,4.0998,3.5434,3.6406,7.3,6.187,4526483.0,33023190.34,3576.0
2009-2-27,3.6082,3.6406,3.2787,3.2787,6.28,5.681,4156108.0,26084564.8,2914.0
2009-3-2,3.2409,3.403,3.2193,3.3652,6.15,2.551,1866141.0,11484088.94,1354.0
2009-3-3,3.2733,3.5056,3.1653,3.5002,6.22,4.758,3481246.0,21638980.66,2421.0
2009-3-4,3.511,3.6731,3.4624,3.6623,6.63,5.893,4311689.0,28598034.2,3091.0
2009-3-5,3.6785,3.7865,3.565,3.6406,6.8,5.808,4249420.0,28908632.42,3138.0
2009-3-6,3.6406,3.7487,3.484,3.6947,6.76,4.285,3135032.0,21197739.32,2163.0
2009-3-9,3.6839,3.7649,3.4624,3.4732,6.65,3.543,2592212.0,17245633.01,1735.0
2009-3-10,3.43,3.5542,3.3706,3.5434,6.44,1.8,1317122.0,8485101.69,931.0
2009-3-11,3.619,3.619,3.4948,3.5542,6.59,2.185,1598353.0,10538937.7,1140.0
2009-3-12,3.5326,3.5704,3.3706,3.5056,6.41,1.856,1358055.0,8699342.8,1057.0
2009-3-13,3.538,3.5542,3.4516,3.4894,6.49,1.532,1121113.0,7279454.7,993.0
2009-3-16,3.484,3.5866,3.4462,3.5758,6.54,1.757,1285388.0,8401619.51,918.0
2009-3-17,3.5758,3.7433,3.5542,3.7001,6.77,3.986,2916180.0,19728335.84,1933.0
2009-3-18,3.7055,3.7973,3.6785,3.7109,6.92,4.153,3038716.0,21015285.32,2113.0
2009-3-19,3.7541,3.8297,3.6947,3.8297,7.0,3.902,2854590.0,19987170.47,2167.0
2009-3-20,3.8297,3.9161,3.7217,3.8513,7.06,5.827,4263497.0,30105991.04,2880.0
2009-3-23,3.7919,3.8999,3.7919,3.8783,7.15,4.799,3510914.0,25118590.35,2427.0
2009-3-24,3.8999,3.9701,3.8513,3.9431,7.25,5.101,3731654.0,27060116.27,2758.0
2009-3-25,3.9161,3.9809,3.8513,3.8513,7.26,4.811,3519808.0,25547718.08,2532.0
2009-3-26,3.8351,3.9161,3.7379,3.8891,7.1,3.671,2685985.0,19080663.3,2081.0
2009-3-27,3.9917,4.0404,3.8621,3.9107,7.32,5.375,3932725.0,28804057.25,2476.0
2009-3-30,3.8999,3.9917,3.8675,3.9269,7.25,3.09,2261006.0,16392830.84,1483.0
2009-3-31,3.8891,3.9107,3.7325,3.8783,7.09,3.004,2197801.0,15592064.35,1629.0
2009-4-1,3.8783,4.224,3.8729,4.143,7.44,9.418,6890718.0,51290302.8,4464.0
2009-4-2,4.0728,4.1376,4.0026,4.1052,7.54,5.68,4155946.0,31323069.08,2858.0
2009-4-3,4.1322,4.4725,4.1052,4.3212,7.92,15.123,11064421.0,87631984.08,6107.0
2009-4-7,4.2996,4.5373,4.2186,4.4455,8.16,16.075,11761130.0,95986796.74,7541.0
2009-4-8,4.4023,4.4023,4.0566,4.0674,7.87,8.084,5914772.0,46526992.81,5044.0
2009-4-9,4.1106,4.17,3.9485,4.1538,7.52,4.196,3069821.0,23094895.23,2563.0
2009-4-10,4.1754,4.2672,4.1106,4.2456,7.78,4.633,3389428.0,26366197.7,2664.0
2009-4-13,4.2456,4.2888,4.1646,4.2888,7.82,5.261,3849373.0,30092505.48,2810.0
2009-4-14,4.2834,4.4671,4.2402,4.4509,8.11,8.949,6547374.0,53124483.6,4181.0
2009-4-15,4.4455,4.4455,4.2132,4.3429,8.0,6.762,4947248.0,39583374.49,3645.0
2009-4-16,4.3212,4.5913,4.2888,4.5103,8.22,9.038,6612039.0,54349438.57,4717.0
2009-4-17,4.4455,4.6453,4.3753,4.4023,8.33,7.482,5474202.0,45575806.14,3829.0
2009-4-20,4.4023,4.775,4.3753,4.6777,8.48,9.627,7043181.0,59739401.01,4561.0
2009-4-21,4.5427,4.7534,4.4995,4.7372,8.5,7.072,5173941.0,44003333.44,3555.0
2009-4-22,4.7804,4.7804,4.2618,4.2888,8.46,9.654,7062815.0,59727928.33,4289.0
2009-4-23,4.3212,4.3266,4.008,4.116,7.72,5.698,4169006.0,32193764.28,2849.0
2009-4-24,4.116,4.2942,4.008,4.278,7.75,6.747,4936250.0,38276305.88,2759.0
