,open,high,low,close,average,turn,volume,amount,tnum
2009-1-5,9.1538,9.3945,9.0882,9.3872,12.74,1.849,2970063.0,37844894.0,3729.0
2009-1-6,9.4018,10.0145,9.2268,9.9853,13.41,3.735,5998898.0,80464249.0,7223.0
2009-1-7,10.2479,10.6855,10.0801,10.4011,14.25,7.374,11844660.0,168763727.0,12497.0
2009-1-8,10.1385,10.2771,9.73,9.8759,13.71,4.179,6712444.0,92023949.0,8010.0
2009-1-9,9.8467,10.2625,9.8321,10.2114,13.81,3.691,5928619.0,81881256.0,6321.0
2009-1-12,10.3573,10.5615,10.1093,10.2479,14.19,4.905,7879605.0,111826957.0,7425.0
2009-1-13,10.0583,10.1312,9.8103,9.8978,13.67,2.666,4282310.0,58539381.0,5182.0
2009-1-14,9.8832,10.3792,9.8613,10.35,13.95,3.655,5870929.0,81904736.0,5765.0
2009-1-15,10.2187,11.0721,10.1823,10.7001,14.74,9.994,16052684.0,236580699.0,14407.0
2009-1-16,10.9408,11.2909,10.7949,10.8533,15.19,10.123,16261224.0,247000812.0,14429.0
2009-1-19,10.9773,11.4514,10.7803,11.4076,15.27,9.54,15323307.0,234014932.0,16151.0
2009-1-20,11.3347,11.7431,11.2326,11.6848,15.78,8.435,13549357.0,213741572.0,12894.0
2009-1-21,11.5243,12.3704,11.3857,12.1808,16.08,8.066,12957037.0,208401969.0,14279.0
2009-1-22,12.2902,12.3048,11.9328,12.0495,16.58,6.122,9834449.0,163038172.0,11698.0
2009-1-23,12.0714,12.1808,11.5243,11.6046,16.1,5.824,9355097.0,150574810.0,11480.0
2009-2-2,11.714,12.1224,11.5243,12.1078,16.2,4.884,7844888.0,127080583.0,8955.0
2009-2-3,12.2683,13.3186,12.2683,13.3186,17.86,10.862,17447493.0,311574074.0,19016.0
2009-2-4,13.4426,13.8948,13.1144,13.3405,18.41,12.999,20880539.0,384459528.0,22480.0
2009-2-5,13.2749,13.3113,12.6986,12.8008,17.86,8.749,14052970.0,250922563.0,18384.0
2009-2-6,12.8737,13.4937,12.8737,13.3478,18.07,7.654,12295033.0,222168370.0,14156.0
2009-2-9,13.7125,14.3981,13.3989,13.9897,19.09,9.283,14911758.0,284716904.0,18410.0
2009-2-10,13.8584,13.9824,13.5301,13.8875,18.82,7.266,11671552.0,219657416.0,15396.0
