,open,high,low,close,volume,amount
2015-01-28,22.04,26.45,22.04,26.45,27000.0,705330.0
2015-01-29,29.1,29.1,29.1,29.1,9700.0,282270.0
2015-01-30,32.01,32.01,32.01,32.01,12700.0,406527.0
2015-02-02,35.21,35.21,35.21,35.21,33800.0,1190098.0
2015-02-03,38.73,38.73,38.73,38.73,61400.0,2378022.0
2015-02-04,42.6,42.6,42.6,42.6,88499.0,3770057.0
2015-02-05,46.86,46.86,46.86,46.86,371200.0,17394432.0
2015-02-06,51.0,51.0,42.17,42.17,4618756.0,210670672.0
2015-02-09,37.95,38.3,37.95,37.95,2039400.0,77400120.0
2015-02-10,35.0,35.99,34.37,35.54,6382515.0,223585664.0
2015-02-11,35.54,36.43,35.28,35.69,3873906.0,138640000.0
2015-02-12,35.51,35.89,34.7,35.3,3111652.0,109775752.0
2015-02-13,35.55,36.34,35.51,35.94,3073191.0,110179880.0
2015-02-16,35.94,35.98,35.28,35.86,2020750.0,72105088.0
2015-02-17,35.91,36.0,35.67,35.91,1615639.0,57910628.0
2015-02-25,35.98,35.99,35.13,35.27,1661816.0,58782496.0
2015-02-26,35.27,35.78,35.27,35.73,1286235.0,45655792.0
2015-02-27,35.8,36.35,35.7,36.24,1829943.0,65830144.0
2015-03-02,36.28,37.62,36.0,37.5,3075324.0,113340648.0
2015-03-03,37.28,37.28,35.91,35.99,3136621.0,114657064.0
2015-03-04,35.77,36.24,35.71,36.11,1729027.0,62203056.0
2015-03-05,36.01,36.45,35.92,36.43,1443939.0,52302700.0
2015-03-06,36.4,36.6,35.57,35.64,1596882.0,57458100.0
2015-03-09,35.26,35.45,34.65,35.28,1380649.0,48345176.0
2015-03-10,35.21,35.93,35.13,35.54,991275.0,35349056.0
2015-03-11,35.64,35.92,35.42,35.57,1258534.0,44867784.0
2015-03-12,35.68,35.69,34.98,35.28,1489600.0,52550688.0
2015-03-13,35.46,36.45,35.42,36.27,1799504.0,64676664.0
2015-03-16,36.7,39.77,36.7,38.6,4488223.0,172053376.0
2015-03-17,38.8,38.87,37.85,38.58,3178903.0,122084520.0
2015-03-18,38.6,40.35,38.25,40.09,2873276.0,113974264.0
2015-03-19,40.18,40.33,39.05,39.66,2212416.0,87369384.0
2015-03-20,39.67,39.88,39.33,39.62,1614577.0,63837216.0
2015-03-23,39.61,39.92,39.39,39.8,1910173.0,75707392.0
2015-03-24,43.78,43.78,43.78,43.78,837366.0,36659884.0
2015-03-25,45.75,48.16,44.88,48.16,6314493.0,295826368.0
2015-03-26,50.5,50.5,45.55,46.39,5808874.0,280452480.0
2015-03-27,44.99,46.99,44.99,45.66,1984989.0,90614152.0
2015-03-30,45.3,45.65,43.23,44.21,3271840.0,145031760.0
2015-03-31,44.0,44.8,44.0,44.38,1505176.0,66947200.0
2015-04-01,44.47,45.45,44.15,45.3,1617251.0,72757512.0
