,open,high,low,close,volume,amount
2016-10-21,9.05,10.86,9.05,10.86,10315.0,111840.0
2016-10-24,11.95,11.95,11.95,11.95,12321.0,147236.0
2016-10-25,13.15,13.15,13.15,13.15,3600.0,47340.0
2016-10-26,14.47,14.47,14.47,14.47,5200.0,75244.0
2016-10-27,15.92,15.92,15.92,15.92,8136.0,129525.0
2016-10-28,17.51,17.51,17.51,17.51,16518.0,289230.0
2016-10-31,19.26,19.26,19.26,19.26,26234.0,505267.0
2016-11-01,21.19,21.19,21.19,21.19,24386.0,516739.0
2016-11-02,23.31,23.31,23.31,23.31,22204.0,517575.0
2016-11-03,25.64,25.64,25.64,25.64,34100.0,874324.0
2016-11-04,28.2,28.2,28.2,28.2,69297.0,1954175.0
2016-11-07,31.02,31.02,31.02,31.02,39321.0,1219737.0
2016-11-08,34.12,34.12,34.12,34.12,32300.0,1102076.0
2016-11-09,37.53,37.53,37.53,37.53,133507.0,5010518.0
2016-11-10,41.28,41.28,41.28,41.28,67021.0,2766627.0
2016-11-11,45.41,45.41,45.41,45.41,135809.0,6167087.0
2016-11-14,49.95,49.95,49.95,49.95,161091.0,8046495.0
2016-11-15,54.95,54.95,54.95,54.95,182209.0,10012385.0
2016-11-16,60.45,60.45,57.6,58.89,20386496.0,1210851072.0
2016-11-17,55.5,59.18,54.51,57.71,12471419.0,706412160.0
2016-11-18,56.63,57.5,54.05,54.16,8808853.0,490457056.0
2016-11-21,53.99,54.48,52.08,54.1,6139401.0,326712608.0
2016-11-22,53.88,57.36,53.72,56.27,7800415.0,435381664.0
2016-11-23,56.0,56.5,54.12,54.54,4624631.0,256344768.0
2016-11-24,54.5,55.5,53.07,53.52,3439638.0,186461968.0
2016-11-25,53.21,53.79,50.6,53.49,3609303.0,188889984.0
2016-11-28,53.02,53.39,51.72,52.06,2399750.0,126124504.0
2016-11-29,51.8,52.51,50.6,50.65,2840297.0,145698272.0
2016-11-30,50.18,51.0,49.98,50.65,1681941.0,84985672.0
2016-12-01,50.8,52.95,50.74,52.4,2897048.0,150485920.0
2016-12-02,52.01,54.82,51.5,53.28,5152458.0,274840576.0
2016-12-05,51.9,53.12,51.16,51.43,2676855.0,138771024.0
2016-12-06,51.8,53.4,51.41,51.56,2589691.0,135629808.0
2016-12-07,51.18,51.73,50.2,51.52,2601053.0,132235360.0
2016-12-08,51.24,52.84,51.24,51.82,2587336.0,134915008.0
2016-12-09,51.24,51.48,48.88,49.0,3739700.0,186718912.0
2016-12-12,48.35,48.5,44.1,44.1,4229963.0,193604096.0
2016-12-15,45.92,45.92,45.92,45.92,0.0,0.0
