,open,high,low,close,volume,amount
2016-11-21,11.4,13.68,11.4,13.68,12000.0,163932.0
2016-11-22,15.05,15.05,15.05,15.05,2800.0,42140.0
2016-11-23,16.56,16.56,16.56,16.56,8600.0,142416.0
2016-11-24,18.22,18.22,18.22,18.22,7000.0,127540.0
2016-11-25,20.04,20.04,20.04,20.04,27400.0,549096.0
2016-11-28,22.04,22.04,22.04,22.04,18204.0,401216.0
2016-11-29,24.24,24.24,24.24,24.24,21244.0,514955.0
2016-11-30,26.66,26.66,26.66,26.66,50830.0,1355128.0
2016-12-01,29.33,29.33,29.33,29.33,63300.0,1856589.0
2016-12-02,32.26,32.26,32.26,32.26,122815.0,3962012.0
2016-12-05,35.49,35.49,35.49,35.49,110459.0,3920190.0
2016-12-06,39.04,39.04,39.04,39.04,109310.0,4267462.0
2016-12-07,42.94,42.94,40.21,42.94,31228451.0,1297139328.0
2016-12-08,42.1,47.23,41.85,47.23,18687067.0,842191360.0
2016-12-09,47.23,47.8,42.61,43.07,31313454.0,1424945280.0
2016-12-12,41.5,41.88,39.5,40.44,19789182.0,805428352.0
2016-12-15,37.05,37.05,37.05,37.05,0.0,0.0
