,open,high,low,close,volume,amount
2016-11-17,8.1,9.72,8.1,9.72,10352.0,98917.0
2016-11-18,10.69,10.69,10.69,10.69,4231.0,45229.0
2016-11-21,11.76,11.76,11.76,11.76,6829.0,80309.0
2016-11-22,12.94,12.94,12.94,12.94,4800.0,62112.0
2016-11-23,14.23,14.23,14.23,14.23,9500.0,135185.0
2016-11-24,15.65,15.65,15.65,15.65,10158.0,158973.0
2016-11-25,17.22,17.22,17.22,17.22,13758.0,236913.0
2016-11-28,18.94,18.94,18.94,18.94,13300.0,251902.0
2016-11-29,20.83,20.83,20.83,20.83,31568.0,657561.0
2016-11-30,22.91,22.91,22.91,22.91,27671.0,633943.0
2016-12-01,25.2,25.2,25.2,25.2,26600.0,670320.0
2016-12-02,27.72,27.72,27.72,27.72,85842.0,2379540.0
2016-12-05,30.49,30.49,30.49,30.49,109364.0,3334508.0
2016-12-06,33.54,33.54,33.54,33.54,97142.0,3258143.0
2016-12-07,36.89,36.89,36.89,36.89,258400.0,9532376.0
2016-12-08,40.58,40.58,40.58,40.58,127858.0,5188478.0
2016-12-09,44.64,44.64,44.64,44.64,79042.0,3528435.0
2016-12-12,46.6,49.1,45.93,49.1,20833955.0,1003200320.0
2016-12-15,46.48,46.48,46.48,46.48,0.0,0.0
