,open,high,low,close,volume,amount
2016-09-05,6.04,7.24,6.04,7.24,28800.0,206832.0
2016-09-06,7.96,7.96,7.96,7.96,12885.0,102565.0
2016-09-07,8.76,8.76,8.76,8.76,14000.0,122640.0
2016-09-08,9.64,9.64,9.64,9.64,12731.0,122727.0
2016-09-09,10.6,10.6,10.6,10.6,48900.0,518340.0
2016-09-12,11.66,11.66,11.66,11.66,117343.0,1368219.0
2016-09-13,12.83,12.83,12.83,12.83,72242.0,926865.0
2016-09-14,14.11,14.11,14.11,14.11,87349.0,1232494.0
2016-09-19,15.52,15.52,15.52,15.52,224000.0,3476480.0
2016-09-20,17.07,17.07,17.07,17.07,364462.0,6221366.0
2016-09-21,18.78,18.78,18.78,18.78,353865.0,6645585.0
2016-09-22,20.66,20.66,20.66,20.66,382292.0,7898153.0
2016-09-23,22.73,22.73,22.73,22.73,388826.0,8838015.0
2016-09-26,25.0,25.0,20.46,20.46,48997349.0,1059596416.0
2016-09-27,19.75,19.98,18.55,19.41,36133445.0,700256640.0
2016-09-28,19.25,19.68,18.49,18.52,24309123.0,461032128.0
2016-09-29,18.2,19.16,18.09,18.37,20189343.0,375645568.0
2016-09-30,18.1,18.17,17.1,17.23,23454144.0,412054464.0
2016-10-10,17.32,17.64,17.11,17.51,14501125.0,252730688.0
2016-10-11,17.42,18.75,17.33,18.38,23030934.0,414070912.0
2016-10-12,17.96,18.89,17.88,18.31,22462936.0,414914880.0
2016-10-13,18.15,18.35,17.8,17.83,13819137.0,248723280.0
2016-10-14,18.0,18.19,17.84,18.1,10262281.0,185160928.0
2016-10-17,18.13,18.18,17.36,17.56,11692965.0,207060160.0
2016-10-18,17.8,17.93,17.53,17.87,9793183.0,173633664.0
2016-10-19,17.78,18.76,17.73,18.4,22662703.0,413370368.0
2016-10-20,18.2,18.29,17.88,17.92,13590232.0,244656192.0
2016-10-21,17.88,18.08,17.42,17.88,9909435.0,176369920.0
2016-10-24,17.89,18.38,17.6,18.07,11850988.0,213296416.0
2016-10-25,18.09,19.88,17.97,19.88,28724718.0,548472576.0
2016-10-26,20.09,20.09,18.97,19.4,31103152.0,604202432.0
2016-10-27,19.36,21.29,19.03,20.67,41510751.0,844858112.0
2016-10-28,20.21,22.66,20.08,22.03,45230566.0,979709696.0
2016-10-31,21.4,21.4,20.3,20.46,26164392.0,542078336.0
2016-11-01,20.08,21.91,20.01,21.12,26526175.0,564236160.0
2016-11-02,21.28,23.23,20.51,22.52,45814368.0,1021838272.0
2016-11-03,21.99,24.77,21.77,24.47,53605598.0,1253285376.0
2016-11-04,23.82,26.92,23.82,26.92,49762103.0,1299170560.0
2016-11-07,27.79,29.61,27.73,29.61,58702371.0,1698964992.0
2016-11-08,30.3,30.3,27.01,28.42,46592846.0,1325371648.0
2016-11-09,28.56,30.43,28.0,28.97,52603903.0,1533917824.0
2016-11-10,28.33,31.87,28.32,31.87,43590886.0,1337430016.0
2016-11-11,33.0,34.39,30.08,30.63,60490295.0,1945982208.0
2016-11-14,29.0,29.63,27.63,28.04,30831693.0,872106496.0
2016-11-15,28.3,29.35,28.05,28.87,26856213.0,773203456.0
2016-11-16,28.33,28.49,27.0,27.16,24031769.0,657370944.0
2016-11-17,27.26,27.66,26.6,27.01,13971170.0,378193408.0
2016-11-18,26.9,27.46,26.65,26.91,12869629.0,347864896.0
2016-11-21,26.89,28.1,25.9,28.05,25742159.0,698785984.0
2016-11-22,27.5,28.62,27.35,27.81,18588472.0,521585088.0
2016-11-23,27.72,28.36,27.0,27.17,14625582.0,403004480.0
2016-11-24,26.9,27.36,25.9,26.08,13430403.0,354396992.0
2016-11-25,26.2,26.89,24.88,26.64,14060320.0,368379808.0
2016-11-28,26.4,26.69,25.86,25.99,8458398.0,222038496.0
2016-11-29,25.77,26.3,25.01,25.12,9245112.0,235743072.0
2016-11-30,24.88,25.25,24.1,24.66,8131767.0,200566400.0
2016-12-01,24.66,26.98,24.4,26.79,19202044.0,494906816.0
2016-12-02,26.33,28.2,26.21,26.87,27216529.0,742838592.0
2016-12-05,26.0,26.75,25.21,25.59,13475395.0,347458208.0
2016-12-06,25.72,26.99,25.72,26.51,14523638.0,385487104.0
2016-12-07,26.25,27.79,26.1,27.19,14900021.0,404156704.0
2016-12-08,27.0,27.34,26.22,26.36,11656626.0,310345376.0
2016-12-09,26.0,26.0,24.8,24.95,12018383.0,304926016.0
2016-12-12,24.6,25.3,23.45,23.57,10268989.0,251538288.0
2016-12-15,23.14,23.14,23.14,23.14,0.0,0.0
