,open,high,low,close,volume,amount
2016-11-24,11.17,13.41,11.17,13.41,6200.0,80678.0
2016-11-25,14.75,14.75,14.75,14.75,4500.0,66375.0
2016-11-28,16.23,16.23,16.23,16.23,3800.0,61674.0
2016-11-29,17.85,17.85,17.85,17.85,7400.0,132090.0
2016-11-30,19.64,19.64,19.64,19.64,18600.0,365304.0
2016-12-01,21.6,21.6,21.6,21.6,20100.0,434160.0
2016-12-02,23.76,23.76,23.76,23.76,22700.0,539352.0
2016-12-05,26.14,26.14,26.14,26.14,25600.0,669184.0
2016-12-06,28.75,28.75,28.75,28.75,45400.0,1305250.0
2016-12-07,31.63,31.63,31.63,31.63,102132.0,3230435.0
2016-12-08,34.79,34.79,34.79,34.79,136270.0,4740833.0
2016-12-09,38.27,38.27,38.27,38.27,90860.0,3477212.0
2016-12-12,42.1,42.1,42.1,42.1,410568.0,17284912.0
2016-12-15,49.34,49.34,49.34,49.34,0.0,0.0
