,open,high,low,close,volume,amount
2015-03-26,17.4,17.4,17.4,17.4,15900.0,276660.0
2015-03-27,19.14,19.14,19.14,19.14,6600.0,126324.0
2015-03-30,21.05,21.05,21.05,21.05,17400.0,366270.0
2015-03-31,23.16,23.16,23.16,23.16,62600.0,1449816.0
2015-04-01,25.48,25.48,25.48,25.48,159100.0,4053868.0
2015-04-02,28.03,28.03,28.03,28.03,193200.0,5415396.0
2015-04-03,30.83,30.83,30.83,30.83,557016.0,17172804.0
2015-04-07,33.91,33.91,33.91,33.91,558514.0,18939210.0
2015-04-08,37.3,37.3,37.3,37.3,449599.0,16770043.0
2015-04-09,41.03,41.03,38.88,41.03,13075563.0,533598208.0
2015-04-10,43.0,44.97,42.0,42.98,12898830.0,560948864.0
2015-04-13,41.02,43.0,40.34,42.24,7985866.0,332853856.0
2015-04-14,41.51,43.0,41.02,41.66,5511252.0,230851104.0
2015-04-15,41.03,41.6,38.55,38.61,5573527.0,221964832.0
2015-04-16,38.2,39.9,37.69,39.11,3158823.0,123154288.0
2015-04-17,39.59,40.98,39.56,40.36,4447144.0,179253424.0
2015-04-20,39.5,40.8,38.48,38.5,3800162.0,149870496.0
2015-04-21,38.5,39.74,38.19,39.69,2676200.0,104366632.0
2015-04-22,39.75,40.38,39.65,40.36,3195600.0,127970256.0
2015-04-23,40.5,40.5,39.76,40.18,2532446.0,101411032.0
2015-04-24,39.38,39.99,39.11,39.91,2146568.0,85093232.0
2015-04-27,40.5,43.5,40.06,43.47,6421092.0,269204704.0
2015-04-28,42.0,42.0,39.3,39.98,5406517.0,220124480.0
2015-04-29,39.5,40.58,39.3,40.39,2378497.0,95421944.0
2015-04-30,40.57,41.55,40.01,40.43,3360533.0,136749840.0
2015-05-04,40.1,40.33,39.43,39.96,1783662.0,71198448.0
2015-05-05,39.81,40.0,38.31,38.6,2036626.0,79934768.0
2015-05-06,38.79,39.5,38.66,39.14,1885557.0,73745168.0
2015-05-07,38.66,39.1,38.05,38.21,1514758.0,58016268.0
2015-05-08,38.26,39.5,38.26,39.47,1875607.0,73275688.0
2015-05-11,39.85,42.6,39.51,42.01,5013343.0,207036096.0
2015-05-12,42.38,43.99,41.58,42.78,4692952.0,200992400.0
2015-05-13,42.0,47.05,41.62,45.34,6183006.0,277427616.0
2015-05-14,47.0,48.5,45.1,48.0,5771721.0,272618976.0
2015-05-15,47.5,49.5,45.02,48.03,6475667.0,303214592.0
2015-05-18,47.4,52.83,47.01,52.83,6262127.0,318862848.0
2015-05-19,55.0,58.1,50.88,52.11,6871696.0,368784544.0
2015-05-20,51.56,53.87,50.56,51.38,5141173.0,270816864.0
2015-05-21,51.0,51.6,49.59,50.91,4031162.0,203361040.0
2015-05-22,52.1,56.0,49.88,56.0,5819029.0,306954784.0
2015-05-25,54.5,61.5,53.02,59.94,6439836.0,377467840.0
2015-05-26,59.9,65.93,59.3,65.93,5365480.0,339036320.0
2015-05-27,67.2,72.52,65.9,72.52,5713401.0,397876256.0
2015-05-28,75.0,79.77,65.27,65.28,8736919.0,678070464.0
2015-05-29,62.0,68.51,58.75,62.85,7620670.0,479717280.0
2015-06-01,62.69,62.69,57.88,61.16,5174445.0,312817632.0
2015-06-02,62.96,62.97,59.5,61.5,4562952.0,279504416.0
2015-06-03,61.33,65.5,60.58,62.58,4948920.0,313343360.0
2015-06-04,62.95,63.48,56.32,58.37,4804016.0,278839104.0
2015-06-05,59.0,60.56,54.53,57.08,3587635.0,209454704.0
2015-06-08,57.88,57.88,54.53,56.76,4117259.0,228671856.0
2015-06-09,55.99,58.1,55.81,57.81,3806949.0,217575200.0
2015-06-10,57.8,63.0,56.91,61.51,4619800.0,278894048.0
2015-06-11,60.95,63.42,60.0,62.49,3686480.0,229484224.0
2015-06-12,62.0,62.46,60.21,61.19,3553061.0,217083968.0
2015-06-15,60.6,60.7,56.0,56.18,3752495.0,215959392.0
2015-06-16,57.0,57.17,54.68,56.67,2713341.0,151640944.0
2015-06-17,56.01,57.6,54.9,56.87,2268099.0,127496920.0
2015-06-18,56.0,56.5,53.8,53.98,2250640.0,123977880.0
2015-06-19,53.9,53.9,48.58,48.66,1934011.0,96337152.0
2015-06-23,47.67,49.72,45.25,49.58,2141051.0,102860464.0
2015-06-24,49.8,50.97,49.68,50.26,2521579.0,126574936.0
2015-06-25,50.25,50.26,46.3,47.07,1473552.0,71324536.0
2015-06-26,45.8,46.45,42.36,42.36,1700999.0,73807296.0
2015-06-29,43.8,45.01,38.12,43.5,4256374.0,181044272.0
2015-06-30,42.87,47.48,39.5,47.21,2764800.0,119862912.0
2015-07-01,46.7,48.12,45.37,47.22,2859875.0,134254656.0
2015-07-02,48.1,51.94,46.67,51.7,7673599.0,390868288.0
2015-07-03,49.77,54.65,48.1,50.02,3236406.0,164172928.0
2015-07-06,53.3,54.3,45.02,46.86,2769325.0,139814992.0
2015-07-07,45.5,49.0,42.17,48.31,3928238.0,169216720.0
2015-07-08,43.48,48.04,43.48,44.94,2551489.0,114054136.0
2015-07-09,45.98,49.43,44.0,49.43,3234674.0,153273168.0
2015-07-10,50.85,54.37,50.58,54.37,3877545.0,209619856.0
2015-07-13,56.0,59.81,54.51,59.8,6575837.0,381855712.0
2015-07-14,58.01,59.0,54.69,55.13,4343701.0,247069072.0
2015-07-15,52.5,57.0,49.51,52.25,3722690.0,195786688.0
2015-07-16,50.0,54.41,49.02,52.0,3316201.0,173187168.0
2015-07-17,52.01,54.77,52.01,54.46,3682607.0,197225280.0
2015-07-20,54.0,56.18,51.0,55.25,3655152.0,196682608.0
2015-07-21,53.62,57.67,52.5,56.98,3476739.0,194393088.0
2015-07-22,57.0,57.5,53.5,54.56,2721992.0,150760016.0
2015-07-23,54.89,60.02,53.41,60.02,5043447.0,286894400.0
2015-07-24,59.8,63.0,57.01,59.97,5353763.0,316857536.0
2015-07-27,57.8,62.5,53.97,53.97,4495495.0,266463472.0
2015-07-28,48.6,54.88,48.57,53.62,3987264.0,202037648.0
2015-07-29,53.35,56.1,50.25,55.98,3028373.0,162363040.0
2015-07-30,56.0,58.9,52.02,54.0,4474590.0,256026480.0
2015-07-31,52.37,53.99,50.88,53.17,2735929.0,142526000.0
2015-08-03,52.0,52.0,48.01,48.57,2372150.0,117845040.0
2015-08-04,48.6,53.0,48.02,52.39,1659113.0,84851192.0
2015-08-05,51.7,54.04,50.55,52.59,1914750.0,100264696.0
2015-08-06,51.85,53.48,50.59,52.67,1654889.0,86230216.0
2015-08-07,52.34,55.5,52.34,55.1,1603183.0,86780192.0
2015-08-10,56.4,58.36,55.2,57.54,2867876.0,164327136.0
2015-08-11,57.7,62.0,56.7,58.81,4880614.0,288958208.0
2015-08-12,57.88,64.63,57.0,63.99,6722459.0,405934528.0
2015-08-13,62.0,65.36,61.08,64.32,4179799.0,262932256.0
2015-08-14,64.06,65.0,61.0,63.73,3639611.0,230694656.0
2015-08-17,62.95,62.95,60.51,62.6,2501047.0,154414512.0
2015-08-18,61.18,62.0,56.5,57.38,3674814.0,220225760.0
2015-08-19,56.91,59.23,53.0,59.11,2737339.0,153590288.0
2015-08-20,57.1,60.47,56.06,59.34,3017282.0,177803792.0
2015-08-21,57.98,59.7,56.0,58.98,3723195.0,218277904.0
2015-08-24,55.0,57.67,53.08,53.22,1549435.0,82881384.0
2015-08-25,48.5,55.66,47.9,51.32,3751042.0,182885872.0
2015-08-26,49.33,55.26,49.33,50.86,3289517.0,171797792.0
2015-08-27,51.0,53.97,50.01,53.82,4225340.0,220731520.0
2015-08-28,53.84,56.45,51.5,56.09,3816129.0,204849984.0
2015-08-31,54.51,60.87,53.4,58.93,4451975.0,256074848.0
2015-09-01,58.0,60.77,53.04,56.97,5682114.0,327829312.0
2015-09-02,51.3,55.7,51.27,51.27,7377693.0,382421920.0
2015-09-07,46.25,51.2,46.14,46.14,8342972.0,400608672.0
2015-09-08,43.1,46.18,41.53,45.81,8683768.0,377334016.0
2015-09-09,44.51,49.6,42.0,49.09,8657798.0,411133280.0
2015-09-10,47.0,52.29,46.03,52.08,7290913.0,361830848.0
2015-09-11,51.97,54.0,50.7,52.66,8146440.0,426925568.0
2015-09-14,52.66,55.47,50.0,50.21,9391110.0,500908480.0
2015-09-15,47.2,48.0,45.19,45.19,3058242.0,140649856.0
2015-09-16,45.19,49.32,41.54,45.25,8780039.0,401051648.0
2015-09-17,44.4,45.45,41.6,41.66,6375643.0,280057856.0
2015-09-18,41.54,43.37,41.01,42.6,4136724.0,174463072.0
2015-09-21,42.4,45.29,41.61,45.23,4747218.0,209293440.0
2015-09-22,45.33,45.8,43.01,43.58,4974071.0,219484176.0
2015-09-23,42.0,43.17,41.88,42.1,2744762.0,116418528.0
2015-09-24,42.39,43.75,42.39,43.28,2927782.0,126230968.0
2015-09-25,43.28,43.28,40.8,40.89,2958955.0,123580664.0
2015-09-28,41.07,42.38,41.0,42.2,2247701.0,94148200.0
2015-09-29,41.85,42.2,40.9,41.03,1921584.0,79644208.0
2015-09-30,41.6,41.97,40.1,40.96,1632354.0,66856008.0
2015-10-08,42.2,42.63,41.57,42.39,2492975.0,105001888.0
2015-10-09,42.4,42.4,41.74,42.06,2028430.0,85249464.0
2015-10-12,42.19,44.38,42.19,43.54,3816505.0,165096544.0
2015-10-13,43.2,44.1,42.86,43.66,3058697.0,133071840.0
2015-10-14,43.39,44.3,43.22,43.73,3039717.0,133236320.0
2015-10-15,43.48,45.63,43.32,45.4,4130327.0,184250832.0
2015-10-16,45.73,46.23,44.01,44.89,4591061.0,207387968.0
2015-10-19,44.89,45.4,43.77,44.19,3165289.0,141141408.0
2015-10-20,43.86,44.95,43.7,44.81,2636881.0,117344320.0
2015-10-21,44.9,45.56,40.5,40.61,3631410.0,157035824.0
2015-10-22,40.8,41.79,40.21,41.56,2704819.0,111225320.0
2015-10-23,42.11,42.35,41.01,41.99,2410448.0,100397792.0
2015-10-26,42.43,42.79,41.7,42.49,2177655.0,92158864.0
2015-10-27,42.58,43.65,41.6,43.37,2900982.0,124005504.0
2015-10-28,43.01,43.7,41.5,41.79,2566464.0,109898216.0
2015-10-29,42.39,42.65,41.67,42.27,1760362.0,74281568.0
2015-10-30,42.38,42.49,41.38,42.08,1337388.0,56208648.0
2015-11-02,41.66,44.05,41.01,42.81,2992452.0,128704384.0
2015-11-03,43.0,44.8,42.8,44.59,3675288.0,161368032.0
2015-11-04,45.1,46.05,44.08,45.98,4736919.0,213877680.0
2015-11-05,45.55,46.1,44.6,44.99,3500731.0,158273712.0
2015-11-06,45.05,46.5,45.05,46.44,3601420.0,166043120.0
2015-11-09,46.4,48.5,46.0,48.26,4585976.0,217034560.0
2015-11-10,47.6,49.49,46.91,47.59,3780261.0,181570368.0
2015-11-11,47.59,50.8,47.11,50.59,4730289.0,230560144.0
2015-11-12,51.72,54.55,49.6,52.51,5714390.0,294808768.0
2015-11-13,51.7,53.46,49.49,51.54,4680883.0,240525952.0
2015-11-16,49.5,52.51,49.2,52.47,2787381.0,142493312.0
2015-11-17,52.9,53.39,50.03,50.16,2931331.0,151682672.0
2015-11-18,50.25,51.09,48.2,48.58,2177381.0,108820432.0
2015-11-19,48.63,49.99,48.23,49.62,1870280.0,91638112.0
2015-11-20,49.61,50.61,49.52,50.48,2278293.0,114270760.0
