,open,high,low,close,volume,amount
2016-11-11,7.74,9.29,7.74,9.29,9029.0,83724.0
2016-11-14,10.22,10.22,10.22,10.22,7800.0,79716.0
2016-11-15,11.24,11.24,11.24,11.24,10061.0,113086.0
2016-11-16,12.36,12.36,12.36,12.36,9600.0,118656.0
2016-11-17,13.6,13.6,13.6,13.6,9991.0,135878.0
2016-11-18,14.96,14.96,14.96,14.96,17719.0,265076.0
2016-11-21,16.46,16.46,16.46,16.46,36901.0,607390.0
2016-11-22,18.11,18.11,18.11,18.11,41000.0,742510.0
2016-11-23,19.92,19.92,19.92,19.92,42600.0,848592.0
2016-11-24,21.91,21.91,21.91,21.91,44635.0,977953.0
2016-11-25,24.1,24.1,24.1,24.1,115937.0,2794082.0
2016-11-28,26.51,26.51,26.51,26.51,196878.0,5219236.0
2016-11-29,29.16,29.16,29.16,29.16,303961.0,8863503.0
2016-11-30,32.08,32.08,32.08,32.08,863900.0,27713912.0
2016-12-01,35.29,35.29,35.29,35.29,6249043.0,220528720.0
2016-12-02,37.44,38.82,37.05,38.82,14952433.0,567328896.0
2016-12-05,41.6,41.7,36.29,36.79,34349972.0,1340656896.0
2016-12-06,35.65,38.65,35.4,37.13,24150513.0,893907648.0
2016-12-07,36.72,36.88,34.6,36.26,19069911.0,681255168.0
2016-12-08,35.9,39.89,35.8,39.89,33606046.0,1315779584.0
2016-12-09,38.4,38.5,36.15,36.43,26988196.0,1005977792.0
2016-12-12,35.7,35.7,32.79,32.79,18934414.0,639406848.0
2016-12-15,30.91,30.91,30.91,30.91,0.0,0.0
